Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 22, 2023","Las Vegas, Nevada, USA",win,Sergei Pavlovich,Curtis Blaydes,1,0,36,14,0,0,0,0,Heavyweight,KO/TKO,Punches,1,3:08
"April 22, 2023","Las Vegas, Nevada, USA",win,Bruno Silva,Brad Tavares,1,0,23,15,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:35
"April 22, 2023","Las Vegas, Nevada, USA",ncnc,King Green,Jared Gordon,0,0,23,17,0,0,0,0,Lightweight,CNC,,1,4:35
"April 22, 2023","Las Vegas, Nevada, USA",win,Iasmin Lucindo,Brogan Walker,0,0,53,29,4,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"April 22, 2023","Las Vegas, Nevada, USA",win,Jeremiah Wells,Matthew Semelsberger,0,2,36,20,6,0,0,0,Welterweight,S-DEC,,3,5:00
"April 22, 2023","Las Vegas, Nevada, USA",win,Christos Giagos,Ricky Glenn,1,0,9,2,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:35
"April 22, 2023","Las Vegas, Nevada, USA",win,Montel Jackson,Rani Yahya,1,0,9,7,0,0,0,0,Bantamweight,KO/TKO,Punch,1,3:42
"April 22, 2023","Las Vegas, Nevada, USA",win,Norma Dumont,Karol Rosa,0,1,35,33,1,0,0,0,Women's Featherweight,U-DEC,,3,5:00
"April 22, 2023","Las Vegas, Nevada, USA",win,Mohammed Usman,Junior Tafa,0,0,7,22,2,0,0,0,Heavyweight,U-DEC,,3,5:00
"April 22, 2023","Las Vegas, Nevada, USA",win,William Gomis,Francis Marshall,0,0,27,15,0,2,0,2,Featherweight,S-DEC,,3,5:00
"April 22, 2023","Las Vegas, Nevada, USA",win,Brady Hiestand,Batgerel Danaa,0,1,45,41,3,1,0,0,Bantamweight,KO/TKO,Punches,3,4:21
