Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 24, 2015","Stockholm, Sweden",win,Anthony Johnson,Alexander Gustafsson,1,0,30,10,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:15
"January 24, 2015","Stockholm, Sweden",win,Gegard Mousasi,Dan Henderson,1,0,4,4,0,0,0,0,Middleweight,KO/TKO,Punch,1,1:10
"January 24, 2015","Stockholm, Sweden",win,Ryan Bader,Phil Davis,0,0,26,35,1,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"January 24, 2015","Stockholm, Sweden",win,Sam Sicilia,Akira Corassani,1,0,10,10,0,0,0,0,Featherweight,KO/TKO,Punch,1,3:26
"January 24, 2015","Stockholm, Sweden",win,Albert Tumenov,Nicholas Musoke,0,0,87,65,0,0,0,0,Welterweight,U-DEC,,3,5:00
"January 24, 2015","Stockholm, Sweden",win,Kenny Robertson,Sultan Aliev,1,0,14,8,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:42
"January 24, 2015","Stockholm, Sweden",win,Makwan Amirkhani,Andy Ogle,1,0,6,0,0,0,0,0,Featherweight,KO/TKO,Punches,1,0:08
"January 24, 2015","Stockholm, Sweden",win,Nikita Krylov,Stanislav Nedkov,1,0,13,4,0,0,1,0,Light Heavyweight,SUB,Guillotine Choke,1,1:24
"January 24, 2015","Stockholm, Sweden",win,Mairbek Taisumov,Anthony Christodoulou,0,0,37,9,2,0,0,0,Lightweight,KO/TKO,Punches,2,0:38
"January 24, 2015","Stockholm, Sweden",win,Mirsad Bektic,Paul Redmond,0,0,34,2,2,0,0,0,Featherweight,U-DEC,,3,5:00
"January 24, 2015","Stockholm, Sweden",win,Viktor Pesta,Konstantin Erokhin,0,0,35,17,4,0,0,0,Heavyweight,U-DEC,,3,5:00
"January 24, 2015","Stockholm, Sweden",win,Neil Seery,Chris Beal,0,0,56,39,1,2,4,0,Flyweight,U-DEC,,3,5:00
