Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 09, 2016","Albany, New York, USA",win,Derrick Lewis,Shamil Abdurakhimov,0,0,39,15,1,4,0,1,Heavyweight,KO/TKO,Punches,4,3:42
"December 09, 2016","Albany, New York, USA",win,Francis Ngannou,Anthony Hamilton,0,0,1,0,0,1,1,0,Heavyweight,SUB,Kimura,1,1:57
"December 09, 2016","Albany, New York, USA",win,Corey Anderson,Sean O'Connell,0,0,66,9,5,0,0,0,Light Heavyweight,KO/TKO,Punches,2,2:36
"December 09, 2016","Albany, New York, USA",win,Gian Villante,Saparbeg Safarov,1,0,60,37,0,0,0,0,Light Heavyweight,KO/TKO,Punches,2,2:54
"December 09, 2016","Albany, New York, USA",win,Justine Kish,Ashley Yoder,0,0,51,44,1,1,1,0,Women's Strawweight,U-DEC,,3,5:00
"December 09, 2016","Albany, New York, USA",win,Randy Brown,Brian Camozzi,1,0,42,11,1,0,0,1,Welterweight,KO/TKO,Knee,2,1:25
"December 09, 2016","Albany, New York, USA",win,Gerald Meerschaert,Joseph Gigliotti,0,0,14,5,0,1,1,0,Middleweight,SUB,Anaconda Choke,1,4:12
"December 09, 2016","Albany, New York, USA",win,Andrew Sanchez,Trevor Smith,0,0,74,61,0,0,0,0,Middleweight,U-DEC,,3,5:00
"December 09, 2016","Albany, New York, USA",win,Shane Burgos,Tiago dos Santos e Silva,1,0,73,56,1,1,0,0,Featherweight,U-DEC,,3,5:00
"December 09, 2016","Albany, New York, USA",win,Marc Diakiese,Frankie Perez,0,0,9,20,6,1,0,0,Lightweight,U-DEC,,3,5:00
"December 09, 2016","Albany, New York, USA",win,Ryan Janes,Keith Berish,0,0,82,61,0,2,0,0,Middleweight,U-DEC,,3,5:00
"December 09, 2016","Albany, New York, USA",win,Juliana Lima,JJ Aldrich,0,0,56,31,4,0,0,0,Women's Strawweight,U-DEC,,3,5:00
