Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 29, 2007","Las Vegas, Nevada, USA",win,Georges St-Pierre,Matt Hughes,0,0,28,5,3,0,3,0,Welterweight,SUB,Armbar,2,4:54
"December 29, 2007","Las Vegas, Nevada, USA",win,Chuck Liddell,Wanderlei Silva,0,1,58,44,2,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"December 29, 2007","Las Vegas, Nevada, USA",win,Eddie Sanchez,Soa Palelei,0,0,52,21,1,1,0,0,Heavyweight,KO/TKO,Punches,3,3:24
"December 29, 2007","Las Vegas, Nevada, USA",win,Lyoto Machida,Rameau Thierry Sokoudjou,1,0,21,6,0,2,5,2,Light Heavyweight,SUB,Arm Triangle,2,4:20
"December 29, 2007","Las Vegas, Nevada, USA",win,Rich Clementi,Melvin Guillard,0,0,6,5,2,1,2,0,Lightweight,SUB,Rear Naked Choke,1,4:40
"December 29, 2007","Las Vegas, Nevada, USA",win,James Irvin,Luiz Cane,0,0,5,9,0,1,0,0,Light Heavyweight,DQ,,1,1:51
"December 29, 2007","Las Vegas, Nevada, USA",win,Manvel Gamburyan,Nate Mohr,0,0,3,2,1,0,1,0,Lightweight,SUB,Ankle Lock,1,1:31
"December 29, 2007","Las Vegas, Nevada, USA",win,Dean Lister,Jordan Radev,0,0,31,20,2,0,0,0,Middleweight,U-DEC,,3,5:00
"December 29, 2007","Las Vegas, Nevada, USA",win,Roan Carneiro,Tony DeSouza,0,0,24,9,3,0,2,1,Welterweight,KO/TKO,Punches,2,3:33
"December 29, 2007","Las Vegas, Nevada, USA",win,Mark Bocek,Doug Evans,0,0,26,22,7,1,0,1,Lightweight,U-DEC,,3,5:00
