Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 26, 2016","Melbourne, Victoria, Australia",win,Robert Whittaker,Derek Brunson,1,0,33,19,0,0,0,0,Middleweight,KO/TKO,Kick,1,4:07
"November 26, 2016","Melbourne, Victoria, Australia",win,Andrew Holbrook,Jake Matthews,0,0,30,22,2,3,3,0,Lightweight,S-DEC,,3,5:00
"November 26, 2016","Melbourne, Victoria, Australia",win,Omari Akhmedov,Kyle Noke,0,0,23,16,3,0,0,0,Welterweight,U-DEC,,3,5:00
"November 26, 2016","Melbourne, Victoria, Australia",win,Alexander Volkanovski,Yusuke Kasuya,0,0,50,4,3,1,0,0,Lightweight,KO/TKO,Punches,2,2:06
"November 26, 2016","Melbourne, Victoria, Australia",win,Tyson Pedro,Khalil Rountree Jr.,0,1,4,3,2,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,1,4:07
"November 26, 2016","Melbourne, Victoria, Australia",win,Danielle Taylor,Seo Hee Ham,0,0,45,31,0,0,0,0,Women's Strawweight,S-DEC,,3,5:00
"November 26, 2016","Melbourne, Victoria, Australia",win,Daniel Kelly,Chris Camozzi,0,0,39,56,4,0,0,0,Middleweight,U-DEC,,3,5:00
"November 26, 2016","Melbourne, Victoria, Australia",win,Damien Brown,Jon Tuck,0,1,34,39,0,0,1,0,Lightweight,S-DEC,,3,5:00
"November 26, 2016","Melbourne, Victoria, Australia",win,Jonathan Meunier,Richard Walsh,0,0,74,18,1,2,0,1,Welterweight,U-DEC,,3,5:00
"November 26, 2016","Melbourne, Victoria, Australia",win,Ben Nguyen,Geane Herrera,1,0,105,22,0,1,0,0,Flyweight,U-DEC,,3,5:00
"November 26, 2016","Melbourne, Victoria, Australia",win,Jason Knight,Dan Hooker,0,0,59,47,4,0,4,0,Featherweight,U-DEC,,3,5:00
"November 26, 2016","Melbourne, Victoria, Australia",win,Marlon Vera,Guangyou Ning,1,0,36,46,1,0,2,0,Featherweight,U-DEC,,3,5:00
"November 26, 2016","Melbourne, Victoria, Australia",win,Jenel Lausa,Yao Zhikui,2,0,56,29,1,1,1,0,Flyweight,U-DEC,,3,5:00
