Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 24, 2011","Denver, Colorado, USA",win,Jon Jones,Quinton Jackson,0,0,61,16,2,0,2,0,Light Heavyweight,SUB,Rear Naked Choke,4,1:14
"September 24, 2011","Denver, Colorado, USA",win,Josh Koscheck,Matt Hughes,0,0,26,14,0,0,0,0,Welterweight,KO/TKO,Punches,1,4:59
"September 24, 2011","Denver, Colorado, USA",win,Mark Hunt,Ben Rothwell,0,0,47,19,2,2,1,0,Heavyweight,U-DEC,,3,5:00
"September 24, 2011","Denver, Colorado, USA",win,Travis Browne,Rob Broughton,0,0,45,22,3,0,0,1,Heavyweight,U-DEC,,3,5:00
"September 24, 2011","Denver, Colorado, USA",win,Nate Diaz,Takanori Gomi,1,0,36,4,0,0,3,0,Lightweight,SUB,Armbar,1,4:27
"September 24, 2011","Denver, Colorado, USA",win,Tony Ferguson,Aaron Riley,0,0,31,11,0,0,0,0,Lightweight,KO/TKO,,1,5:00
"September 24, 2011","Denver, Colorado, USA",win,Tim Boetsch,Nick Ring,0,0,46,29,4,0,2,0,Middleweight,U-DEC,,3,5:00
"September 24, 2011","Denver, Colorado, USA",win,Junior Assuncao,Eddie Yagin,0,0,63,10,3,0,0,2,Featherweight,U-DEC,,3,5:00
"September 24, 2011","Denver, Colorado, USA",win,Takeya Mizugaki,Cole Escovedo,2,0,70,29,1,0,0,0,Bantamweight,KO/TKO,Punches,2,4:30
"September 24, 2011","Denver, Colorado, USA",win,James Te Huna,Ricardo Romero,1,0,5,0,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,0:47
