Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 05, 2022","Las Vegas, Nevada, USA",win,Colby Covington,Jorge Masvidal,0,0,94,67,6,0,1,0,Welterweight,U-DEC,,5,5:00
"March 05, 2022","Las Vegas, Nevada, USA",win,Rafael Dos Anjos,Renato Moicano,1,0,149,88,5,0,0,0,Catch Weight,U-DEC,,5,5:00
"March 05, 2022","Las Vegas, Nevada, USA",win,Bryce Mitchell,Edson Barboza,1,0,34,16,4,0,0,0,Featherweight,U-DEC,,3,5:00
"March 05, 2022","Las Vegas, Nevada, USA",win,Kevin Holland,Alex Oliveira,1,0,50,21,0,2,0,1,Welterweight,KO/TKO,Elbows,2,0:38
"March 05, 2022","Las Vegas, Nevada, USA",win,Serghei Spivac,Greg Hardy,0,0,14,7,3,0,0,0,Heavyweight,KO/TKO,Punches,1,2:16
"March 05, 2022","Las Vegas, Nevada, USA",win,Jalin Turner,Jamie Mullarkey,1,0,52,35,1,1,0,0,Lightweight,KO/TKO,Punch,2,0:46
"March 05, 2022","Las Vegas, Nevada, USA",win,Marina Rodriguez,Yan Xiaonan,0,0,72,56,0,2,0,0,Women's Strawweight,S-DEC,,3,5:00
"March 05, 2022","Las Vegas, Nevada, USA",win,Nicolae Negumereanu,Kennedy Nzechukwu,0,0,64,95,1,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"March 05, 2022","Las Vegas, Nevada, USA",win,Maryna Moroz,Mariya Agapova,0,0,28,16,2,0,3,0,Women's Flyweight,SUB,Arm Triangle,2,3:27
"March 05, 2022","Las Vegas, Nevada, USA",win,Umar Nurmagomedov,Brian Kelleher,0,0,18,1,1,0,1,0,Featherweight,SUB,Rear Naked Choke,1,3:15
"March 05, 2022","Las Vegas, Nevada, USA",win,Tim Elliott,Tagir Ulanbekov,1,0,79,90,3,2,0,1,Flyweight,U-DEC,,3,5:00
"March 05, 2022","Las Vegas, Nevada, USA",win,Ludovit Klein,Devonte Smith,0,0,60,53,0,0,0,0,Lightweight,S-DEC,,3,5:00
"March 05, 2022","Las Vegas, Nevada, USA",win,Dustin Jacoby,Michal Oleksiejczuk,0,0,89,69,1,1,0,0,Light Heavyweight,U-DEC,,3,5:00
