Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 23, 2014","Macau, China",win,Michael Bisping,Cung Le,1,0,92,38,0,0,0,0,Middleweight,KO/TKO,Knee,4,0:57
"August 23, 2014","Macau, China",win,Tyron Woodley,Dong Hyun Kim,1,0,13,2,0,0,0,0,Welterweight,KO/TKO,Punch,1,1:01
"August 23, 2014","Macau, China",win,Zhang Lipeng,Brendan O'Reilly,0,0,19,15,2,0,1,0,Lightweight,U-DEC,,3,5:00
"August 23, 2014","Macau, China",win,Guangyou Ning,Jianping Yang,0,0,31,21,2,1,1,0,Featherweight,U-DEC,,3,5:00
"August 23, 2014","Macau, China",win,Sai Wang,Danny Mitchell,0,0,64,58,0,0,0,1,Welterweight,U-DEC,,3,5:00
"August 23, 2014","Macau, China",win,Alberto Mina,Shinsho Anzai,1,0,34,31,0,1,0,0,Welterweight,KO/TKO,Punch,1,4:17
"August 23, 2014","Macau, China",win,Yuta Sasaki,Roland Delorme,0,0,5,1,0,0,1,0,Bantamweight,SUB,Rear Naked Choke,1,1:06
"August 23, 2014","Macau, China",win,Colby Covington,Anying Wang,0,0,11,0,2,0,0,0,Welterweight,KO/TKO,Punches,1,4:50
"August 23, 2014","Macau, China",win,Royston Wee,Yao Zhikui,0,0,18,27,3,0,0,0,Bantamweight,S-DEC,,3,5:00
"August 23, 2014","Macau, China",win,Milana Dudieva,Elizabeth Phillips,0,0,11,25,2,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
