Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 03, 2018","Las Vegas, Nevada, USA",win,Cristiane Justino,Yana Santos,0,0,33,5,1,1,0,0,Women's Featherweight,KO/TKO,Punches,1,3:25
"March 03, 2018","Las Vegas, Nevada, USA",win,Brian Ortega,Frankie Edgar,1,0,25,27,0,0,0,0,Featherweight,KO/TKO,Punch,1,4:44
"March 03, 2018","Las Vegas, Nevada, USA",win,Sean O'Malley,Andre Soukhamthath,0,0,63,25,0,4,3,0,Bantamweight,U-DEC,,3,5:00
"March 03, 2018","Las Vegas, Nevada, USA",win,Andrei Arlovski,Stefan Struve,0,0,46,34,4,0,0,0,Heavyweight,U-DEC,,3,5:00
"March 03, 2018","Las Vegas, Nevada, USA",win,Ketlen Vieira,Cat Zingano,0,0,41,59,2,0,1,0,Women's Bantamweight,S-DEC,,3,5:00
"March 03, 2018","Las Vegas, Nevada, USA",win,Mackenzie Dern,Ashley Yoder,0,1,70,52,1,0,1,0,Women's Strawweight,S-DEC,,3,5:00
"March 03, 2018","Las Vegas, Nevada, USA",win,Alexander Hernandez,Beneil Dariush,1,0,8,4,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:42
"March 03, 2018","Las Vegas, Nevada, USA",win,John Dodson,Pedro Munhoz,0,0,76,69,0,1,0,0,Bantamweight,S-DEC,,3,5:00
"March 03, 2018","Las Vegas, Nevada, USA",win,CB Dollaway,Hector Lombard,0,1,13,19,0,0,0,0,Middleweight,DQ,,1,5:00
"March 03, 2018","Las Vegas, Nevada, USA",win,Zak Ottow,Mike Pyle,1,0,22,4,0,0,0,0,Welterweight,KO/TKO,Punches,1,2:34
"March 03, 2018","Las Vegas, Nevada, USA",win,Cody Stamann,Bryan Caraway,0,0,95,59,0,1,0,0,Bantamweight,S-DEC,,3,5:00
"March 03, 2018","Las Vegas, Nevada, USA",win,Jordan Johnson,Adam Milstead,0,0,59,58,2,0,0,0,Light Heavyweight,S-DEC,,3,5:00
