Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 23, 2024","Las Vegas, Nevada, USA",win,Rose Namajunas,Amanda Ribas,0,0,93,83,1,4,0,0,Women's Flyweight,U-DEC,,5,5:00
"March 23, 2024","Las Vegas, Nevada, USA",win,Karl Williams,Justin Tafa,0,0,40,21,7,0,1,0,Heavyweight,U-DEC,,3,5:00
"March 23, 2024","Las Vegas, Nevada, USA",win,Edmen Shahbazyan,AJ Dobson,1,0,27,15,1,0,0,0,Middleweight,KO/TKO,Punches,1,4:33
"March 23, 2024","Las Vegas, Nevada, USA",win,Payton Talbott,Cameron Saaiman,1,0,79,31,0,0,0,0,Bantamweight,KO/TKO,Punches,2,0:21
"March 23, 2024","Las Vegas, Nevada, USA",win,Youssef Zalal,Billy Quarantillo,0,0,33,10,2,0,2,0,Featherweight,SUB,Rear Naked Choke,2,1:50
"March 23, 2024","Las Vegas, Nevada, USA",win,Fernando Padilla,Luis Pajuelo,1,0,34,5,0,0,1,0,Featherweight,SUB,D'Arce Choke,1,2:45
"March 23, 2024","Las Vegas, Nevada, USA",win,Trey Ogden,Kurt Holobaugh,0,0,35,29,3,0,0,0,Lightweight,U-DEC,,3,5:00
"March 23, 2024","Las Vegas, Nevada, USA",win,Julian Erosa,Ricardo Ramos,0,0,4,7,0,2,1,0,Featherweight,SUB,Guillotine Choke,1,2:15
"March 23, 2024","Las Vegas, Nevada, USA",win,Miles Johns,Cody Gibson,0,0,25,18,2,1,0,0,Bantamweight,U-DEC,,3,5:00
"March 23, 2024","Las Vegas, Nevada, USA",win,Jarno Errens,Steven Nguyen,1,0,105,63,0,1,0,0,Featherweight,U-DEC,,3,5:00
"March 23, 2024","Las Vegas, Nevada, USA",win,Daria Zhelezniakova,Montserrat Rendon,0,0,57,25,0,3,0,0,Women's Bantamweight,U-DEC,,3,5:00
"March 23, 2024","Las Vegas, Nevada, USA",win,Andre Lima,Igor Severino,0,0,30,36,1,5,2,0,Flyweight,DQ,,2,2:52
"March 23, 2024","Las Vegas, Nevada, USA",win,Mick Parkin,Mohammed Usman,0,0,72,57,0,0,0,0,Heavyweight,U-DEC,,3,5:00
