Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Al Iaquinta,Kevin Lee,0,0,111,102,0,3,0,0,Lightweight,U-DEC,,5,5:00
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Edson Barboza,Dan Hooker,1,0,126,81,0,0,0,0,Lightweight,KO/TKO,Punches,3,2:19
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Rob Font,Sergio Pettis,0,0,111,71,2,1,1,0,Bantamweight,U-DEC,,3,5:00
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Charles Oliveira,Jim Miller,0,0,0,1,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,1:15
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Zak Ottow,Dwight Grant,0,0,14,25,1,1,0,0,Welterweight,S-DEC,,3,5:00
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Drakkar Klose,King Green,0,0,58,92,0,1,0,1,Lightweight,U-DEC,,3,5:00
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Joaquim Silva,Jared Gordon,0,0,95,116,1,3,2,0,Lightweight,KO/TKO,Punches,3,2:39
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Jack Hermansson,Gerald Meerschaert,0,0,41,1,1,0,1,0,Middleweight,SUB,Guillotine Choke,1,4:25
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Zak Cummings,Trevor Smith,1,0,56,54,0,0,0,0,Middleweight,U-DEC,,3,5:00
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Dan Ige,Jordan Griffin,0,0,56,56,3,0,0,1,Featherweight,U-DEC,,3,5:00
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Mike Rodriguez,Adam Milstead,2,0,35,10,0,0,0,0,Light Heavyweight,KO/TKO,Knee,1,2:59
"December 15, 2018","Milwaukee, Wisconsin, USA",win,Juan Adams,Chris de la Rocha,0,0,86,41,2,1,0,0,Heavyweight,KO/TKO,Knee,3,0:58
