Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 08, 2020","Las Vegas, Nevada, USA",win,Derrick Lewis,Aleksei Oleinik,1,0,35,2,1,1,0,2,Heavyweight,KO/TKO,Punches,2,0:21
"August 08, 2020","Las Vegas, Nevada, USA",win,Chris Weidman,Omari Akhmedov,0,0,29,33,5,4,0,0,Middleweight,U-DEC,,3,5:00
"August 08, 2020","Las Vegas, Nevada, USA",win,Darren Stewart,Maki Pitolo,0,0,13,12,0,1,1,0,Middleweight,SUB,Guillotine Choke,1,3:41
"August 08, 2020","Las Vegas, Nevada, USA",win,Yana Santos,Julija Stoliarenko,0,0,43,6,1,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"August 08, 2020","Las Vegas, Nevada, USA",win,Beneil Dariush,Scott Holtzman,1,0,36,9,0,0,0,0,Lightweight,KO/TKO,Spinning Back Fist,1,4:38
"August 08, 2020","Las Vegas, Nevada, USA",win,Tim Means,Laureano Staropoli,1,0,85,71,2,0,0,0,Welterweight,U-DEC,,3,5:00
"August 08, 2020","Las Vegas, Nevada, USA",win,Kevin Holland,Joaquin Buckley,2,0,79,40,0,0,0,0,Middleweight,KO/TKO,Punch,3,0:32
"August 08, 2020","Las Vegas, Nevada, USA",win,Nasrat Haqparast,Alexander Munoz,0,0,104,37,0,1,0,0,Lightweight,U-DEC,,3,5:00
"August 08, 2020","Las Vegas, Nevada, USA",win,Andrew Sanchez,Wellington Turman,1,0,28,21,0,0,0,0,Middleweight,KO/TKO,Punch,1,4:14
"August 08, 2020","Las Vegas, Nevada, USA",win,Gavin Tucker,Justin Jaynes,0,1,87,41,1,0,4,1,Featherweight,SUB,Rear Naked Choke,3,1:43
"August 08, 2020","Las Vegas, Nevada, USA",win,Youssef Zalal,Peter Barrett,1,0,54,23,3,0,3,0,Featherweight,U-DEC,,3,5:00
"August 08, 2020","Las Vegas, Nevada, USA",win,Irwin Rivera,Ali AlQaisi,0,0,36,44,2,2,0,1,Bantamweight,S-DEC,,3,5:00
