Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 03, 2018","Belem, Para, Brazil",win,Lyoto Machida,Eryk Anders,0,0,62,32,0,3,0,0,Middleweight,S-DEC,,5,5:00
"February 03, 2018","Belem, Para, Brazil",win,Valentina Shevchenko,Priscila Cachoeira,0,0,95,2,2,0,2,0,Women's Flyweight,SUB,Rear Naked Choke,2,4:25
"February 03, 2018","Belem, Para, Brazil",win,Michel Prazeres,Desmond Green,0,0,36,33,3,3,3,0,Lightweight,U-DEC,,3,5:00
"February 03, 2018","Belem, Para, Brazil",win,Timothy Johnson,Marcelo Golm,0,0,77,59,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"February 03, 2018","Belem, Para, Brazil",win,Douglas Silva de Andrade,Marlon Vera,0,0,97,72,1,0,0,0,Bantamweight,U-DEC,,3,5:00
"February 03, 2018","Belem, Para, Brazil",win,Thiago Santos,Anthony Smith,2,0,58,10,0,1,0,0,Middleweight,KO/TKO,Kick,2,1:03
"February 03, 2018","Belem, Para, Brazil",win,Sergio Moraes,Tim Means,0,1,87,129,0,0,0,0,Welterweight,S-DEC,,3,5:00
"February 03, 2018","Belem, Para, Brazil",win,Alan Patrick,Damir Hadzovic,0,0,28,20,9,0,0,1,Lightweight,U-DEC,,3,5:00
"February 03, 2018","Belem, Para, Brazil",win,Polyana Viana,Maia Stevenson,0,0,12,6,1,1,3,0,Women's Strawweight,SUB,Rear Naked Choke,1,3:50
"February 03, 2018","Belem, Para, Brazil",win,Iuri Alcantara,Joe Soto,1,0,17,1,0,0,0,0,Bantamweight,KO/TKO,Punches,1,1:06
"February 03, 2018","Belem, Para, Brazil",win,Deiveson Figueiredo,Joseph Morales,1,0,31,9,2,0,1,0,Flyweight,KO/TKO,Punches,2,4:34
