Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 21, 2009","London, England, United Kingdom",win,Diego Sanchez,Joe Stevenson,0,0,91,41,1,0,1,1,Lightweight,U-DEC,,3,5:00
"February 21, 2009","London, England, United Kingdom",win,Dan Hardy,Rory Markham,1,0,5,2,0,0,0,0,Welterweight,KO/TKO,Punch,1,1:09
"February 21, 2009","London, England, United Kingdom",win,Nate Marquardt,Wilson Gouveia,1,0,67,16,2,0,1,1,Middleweight,KO/TKO,Flying Knee,3,3:10
"February 21, 2009","London, England, United Kingdom",win,Demian Maia,Chael Sonnen,0,0,6,8,1,0,1,0,Middleweight,SUB,Triangle Choke,1,2:37
"February 21, 2009","London, England, United Kingdom",win,Paulo Thiago,Josh Koscheck,1,0,7,8,0,0,0,0,Welterweight,KO/TKO,Punches,1,3:29
"February 21, 2009","London, England, United Kingdom",win,Terry Etim,Brian Cobb,1,0,19,0,1,2,0,0,Lightweight,KO/TKO,Kick,2,0:10
"February 21, 2009","London, England, United Kingdom",win,Junior Dos Santos,Stefan Struve,2,0,12,0,0,0,0,0,Heavyweight,KO/TKO,Punches,1,0:54
"February 21, 2009","London, England, United Kingdom",win,Evan Dunham,Per Eklund,1,0,13,9,0,1,1,1,Lightweight,KO/TKO,Punch,1,2:13
"February 21, 2009","London, England, United Kingdom",win,Mike Ciesnolevicz,Neil Grove,0,0,0,0,0,0,2,1,Heavyweight,SUB,Heel Hook,1,1:03
"February 21, 2009","London, England, United Kingdom",win,Paul Kelly,Troy Mandaloniz,0,1,71,38,2,4,0,0,Welterweight,U-DEC,,3,5:00
