Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 08, 2011","Houston, Texas, USA",win,Frankie Edgar,Gray Maynard,1,1,61,42,0,0,0,0,Lightweight,KO/TKO,Punches,4,3:54
"October 08, 2011","Houston, Texas, USA",win,Jose Aldo,Kenny Florian,0,0,51,40,0,1,0,0,Featherweight,U-DEC,,5,5:00
"October 08, 2011","Houston, Texas, USA",win,Chael Sonnen,Brian Stann,0,0,28,2,4,0,1,0,Middleweight,SUB,Arm Triangle,2,3:51
"October 08, 2011","Houston, Texas, USA",win,Nam Phan,Leonard Garcia,0,1,174,100,1,0,0,0,Featherweight,U-DEC,,3,5:00
"October 08, 2011","Houston, Texas, USA",win,Joe Lauzon,Melvin Guillard,0,0,2,3,0,0,1,0,Lightweight,SUB,Rear Naked Choke,1,0:47
"October 08, 2011","Houston, Texas, USA",win,Demian Maia,Jorge Santiago,0,0,24,18,4,0,0,0,Middleweight,U-DEC,,3,5:00
"October 08, 2011","Houston, Texas, USA",win,Anthony Pettis,Jeremy Stephens,0,0,21,17,6,3,0,0,Lightweight,S-DEC,,3,5:00
"October 08, 2011","Houston, Texas, USA",win,Stipe Miocic,Joey Beltran,0,0,68,52,4,1,0,0,Heavyweight,U-DEC,,3,5:00
"October 08, 2011","Houston, Texas, USA",win,Darren Elkins,Zhang Tiequan,0,0,27,2,1,0,3,3,Featherweight,U-DEC,,3,5:00
"October 08, 2011","Houston, Texas, USA",win,Aaron Simpson,Eric Schafer,2,0,58,14,0,0,0,0,Middleweight,U-DEC,,3,5:00
"October 08, 2011","Houston, Texas, USA",win,Mike Massenzio,Steve Cantwell,0,0,78,56,1,0,0,1,Middleweight,U-DEC,,3,5:00
