Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Alistair Overeem,Aleksei Oleinik,1,0,29,38,0,0,0,0,Heavyweight,KO/TKO,Knee,1,4:45
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Islam Makhachev,Arman Tsarukyan,0,0,14,13,4,1,0,0,Lightweight,U-DEC,,3,5:00
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Sergei Pavlovich,Marcelo Golm,1,0,17,5,0,0,0,0,Heavyweight,KO/TKO,Punches,1,1:06
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Roxanne Modafferi,Antonina Shevchenko,0,0,33,64,5,0,0,0,Women's Flyweight,S-DEC,,3,5:00
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Krzysztof Jotko,Alen Amedovski,0,0,43,6,4,0,0,0,Middleweight,U-DEC,,3,5:00
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Movsar Evloev,SeungWoo Choi,0,0,50,26,5,0,0,0,Featherweight,U-DEC,,3,5:00
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Sultan Aliev,Keita Nakamura,0,0,25,29,2,0,0,0,Welterweight,U-DEC,,3,5:00
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Alexander Yakovlev,Alex Da Silva,0,0,14,8,1,1,1,0,Lightweight,SUB,Schultz Front Headlock,2,3:10
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Shamil Abdurakhimov,Marcin Tybura,1,0,36,28,0,0,0,0,Heavyweight,KO/TKO,Punches,2,3:15
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Michal Oleksiejczuk,Gadzhimurad Antigulov,3,0,8,6,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:44
"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",win,Magomed Mustafaev,Rafael Fiziev,1,0,10,1,0,0,0,0,Lightweight,KO/TKO,Spinning Back Kick,1,1:26
