Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 25, 2023","Las Vegas, Nevada, USA",win,Brendan Allen,Andre Muniz,0,0,42,43,1,0,2,0,Middleweight,SUB,Rear Naked Choke,3,4:25
"February 25, 2023","Las Vegas, Nevada, USA",win,Augusto Sakai,Don'Tale Mayes,0,0,53,29,1,0,0,0,Heavyweight,U-DEC,,3,5:00
"February 25, 2023","Las Vegas, Nevada, USA",win,Tatiana Suarez,Montana De La Rosa,0,0,10,5,2,0,1,0,Women's Flyweight,SUB,Guillotine Choke,2,2:51
"February 25, 2023","Las Vegas, Nevada, USA",win,Mike Malott,Yohan Lainesse,0,0,9,1,1,0,1,0,Welterweight,SUB,Arm Triangle,1,4:15
"February 25, 2023","Las Vegas, Nevada, USA",win,Trevor Peek,Erick Gonzalez,2,0,51,7,0,4,0,0,Lightweight,KO/TKO,Punch,1,4:59
"February 25, 2023","Las Vegas, Nevada, USA",win,Jasmine Jasudavicius,Gabriella Fernandes,0,0,24,26,4,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"February 25, 2023","Las Vegas, Nevada, USA",win,Jordan Leavitt,Victor Martinez,1,0,17,7,0,0,0,0,Lightweight,KO/TKO,Knees,1,2:27
"February 25, 2023","Las Vegas, Nevada, USA",win,Ode Osbourne,Charles Johnson,0,0,48,60,3,1,0,0,Catch Weight,S-DEC,,3,5:00
"February 25, 2023","Las Vegas, Nevada, USA",win,Joe Solecki,Carl Deaton,0,0,2,1,2,0,3,0,Lightweight,SUB,Rear Naked Choke,2,4:55
"February 25, 2023","Las Vegas, Nevada, USA",win,Nurullo Aliev,Rafael Alves,0,0,19,6,3,0,0,2,Lightweight,M-DEC,,3,5:00
