Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 06, 2018","Las Vegas, Nevada, USA",win,Israel Adesanya,Brad Tavares,0,0,119,40,0,1,1,0,Middleweight,U-DEC,,5,5:00
"July 06, 2018","Las Vegas, Nevada, USA",win,Michael Trizano,Joe Giannetti,0,0,42,29,0,1,1,0,Lightweight,S-DEC,,3,5:00
"July 06, 2018","Las Vegas, Nevada, USA",win,Brad Katona,Jay Cucciniello,0,0,71,14,2,0,0,0,Featherweight,U-DEC,,3,5:00
"July 06, 2018","Las Vegas, Nevada, USA",win,Alex Caceres,Martin Bravo,0,0,82,78,0,3,0,0,Featherweight,S-DEC,,3,5:00
"July 06, 2018","Las Vegas, Nevada, USA",win,Roxanne Modafferi,Barb Honchak,0,0,51,24,1,0,0,0,Women's Flyweight,KO/TKO,Elbows,2,3:32
"July 06, 2018","Las Vegas, Nevada, USA",win,Alessio Di Chirico,Julian Marquez,0,0,50,47,4,0,0,2,Middleweight,S-DEC,,3,5:00
"July 06, 2018","Las Vegas, Nevada, USA",win,Montana De La Rosa,Rachael Ostovich,0,0,56,40,0,0,1,1,Women's Flyweight,SUB,Rear Naked Choke,3,4:21
"July 06, 2018","Las Vegas, Nevada, USA",win,Luis Pena,Richie Smullen,1,0,8,7,1,2,1,0,Lightweight,SUB,Guillotine Choke,1,3:32
"July 06, 2018","Las Vegas, Nevada, USA",win,John Gunther,Allan Zuniga,0,0,27,59,8,0,0,1,Lightweight,M-DEC,,3,5:00
"July 06, 2018","Las Vegas, Nevada, USA",win,Bryce Mitchell,Tyler Diamond,0,0,38,51,3,3,1,0,Featherweight,M-DEC,,3,5:00
"July 06, 2018","Las Vegas, Nevada, USA",win,Steven Peterson,Matt Bessette,0,0,74,57,2,0,1,0,Featherweight,S-DEC,,3,5:00
"July 06, 2018","Las Vegas, Nevada, USA",win,Gerald Meerschaert,Oskar Piechota,0,1,51,23,3,1,2,2,Middleweight,SUB,Rear Naked Choke,2,4:55
