Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 05, 2015","Las Vegas, Nevada, USA",win,Demetrious Johnson,John Dodson,0,0,88,58,4,1,0,0,Flyweight,U-DEC,,5,5:00
"September 05, 2015","Las Vegas, Nevada, USA",win,Andrei Arlovski,Frank Mir,0,0,39,24,0,1,0,0,Heavyweight,U-DEC,,3,5:00
"September 05, 2015","Las Vegas, Nevada, USA",win,Anthony Johnson,Jimi Manuwa,1,0,25,8,2,0,0,0,Light Heavyweight,KO/TKO,Punch,2,0:28
"September 05, 2015","Las Vegas, Nevada, USA",win,Corey Anderson,Jan Blachowicz,0,0,84,20,4,1,0,1,Light Heavyweight,U-DEC,,3,5:00
"September 05, 2015","Las Vegas, Nevada, USA",win,Paige VanZant,Alex Chambers,0,0,73,30,3,0,1,1,Women's Strawweight,SUB,Armbar,3,1:01
"September 05, 2015","Las Vegas, Nevada, USA",win,Ross Pearson,Paul Felder,0,0,62,60,1,0,0,0,Lightweight,S-DEC,,3,5:00
"September 05, 2015","Las Vegas, Nevada, USA",win,John Lineker,Francisco Rivera,1,0,28,16,0,0,1,0,Bantamweight,SUB,Guillotine Choke,1,2:08
"September 05, 2015","Las Vegas, Nevada, USA",win,Raquel Pennington,Jessica Andrade,0,0,41,41,2,4,1,1,Women's Bantamweight,SUB,Rear Naked Choke,2,4:58
"September 05, 2015","Las Vegas, Nevada, USA",win,Tiago dos Santos e Silva,Clay Collard,0,1,52,84,1,1,1,0,Featherweight,S-DEC,,3,5:00
"September 05, 2015","Las Vegas, Nevada, USA",win,Joe Riggs,Ron Stallings,1,0,35,24,2,0,0,0,Middleweight,DQ,,2,2:28
"September 05, 2015","Las Vegas, Nevada, USA",win,Joaquim Silva,Nazareno Malegarie,0,0,49,58,0,1,0,0,Lightweight,S-DEC,,3,5:00
