Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 19, 2020","Las Vegas, Nevada, USA",win,Colby Covington,Tyron Woodley,0,0,78,34,3,1,0,0,Welterweight,KO/TKO,,5,1:19
"September 19, 2020","Las Vegas, Nevada, USA",ncnc,Donald Cerrone,Niko Price,0,0,113,150,0,0,0,0,Welterweight,Overturned,,3,5:00
"September 19, 2020","Las Vegas, Nevada, USA",win,Khamzat Chimaev,Gerald Meerschaert,1,0,4,0,0,0,0,0,Middleweight,KO/TKO,Punch,1,0:17
"September 19, 2020","Las Vegas, Nevada, USA",win,Johnny Walker,Ryan Spann,0,2,26,7,0,2,0,0,Light Heavyweight,KO/TKO,Punches,1,2:43
"September 19, 2020","Las Vegas, Nevada, USA",win,Mackenzie Dern,Randa Markos,0,0,9,3,0,0,5,0,Women's Strawweight,SUB,Armbar,1,3:44
"September 19, 2020","Las Vegas, Nevada, USA",win,Kevin Holland,Darren Stewart,0,0,74,57,0,3,0,0,Middleweight,S-DEC,,3,5:00
"September 19, 2020","Las Vegas, Nevada, USA",win,David Dvorak,Jordan Espinosa,0,0,68,50,0,0,0,0,Flyweight,U-DEC,,3,5:00
"September 19, 2020","Las Vegas, Nevada, USA",win,Damon Jackson,Mirsad Bektic,0,0,12,13,0,7,7,0,Featherweight,SUB,Guillotine Choke,3,1:21
"September 19, 2020","Las Vegas, Nevada, USA",win,Mayra Bueno Silva,Mara Romero Borella,0,0,2,6,0,1,1,0,Women's Flyweight,SUB,Armbar,1,2:29
"September 19, 2020","Las Vegas, Nevada, USA",win,Jessica-Rose Clark,Sarah Alpar,0,0,76,12,1,2,0,0,Women's Bantamweight,KO/TKO,Knee,3,4:21
"September 19, 2020","Las Vegas, Nevada, USA",win,Darrick Minner,TJ Laramie,0,0,15,0,0,0,1,0,Featherweight,SUB,Guillotine Choke,1,0:52
"September 19, 2020","Las Vegas, Nevada, USA",win,Randy Costa,Journey Newson,1,0,4,1,0,0,0,0,Bantamweight,KO/TKO,Kick,1,0:41
"September 19, 2020","Las Vegas, Nevada, USA",win,Andre Ewell,Irwin Rivera,0,0,123,81,0,1,0,0,Bantamweight,S-DEC,,3,5:00
"September 19, 2020","Las Vegas, Nevada, USA",win,Tyson Nam,Jerome Rivera,1,0,36,30,0,0,0,0,Bantamweight,KO/TKO,Punches,2,0:34
