Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 25, 2012","Saitama, Japan",win,Benson Henderson,Frankie Edgar,0,0,87,68,1,5,3,0,Lightweight,U-DEC,,5,5:00
"February 25, 2012","Saitama, Japan",win,Ryan Bader,Quinton Jackson,0,0,55,16,4,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 25, 2012","Saitama, Japan",win,Mark Hunt,Cheick Kongo,1,0,10,5,0,0,0,0,Heavyweight,KO/TKO,Punches,1,2:11
"February 25, 2012","Saitama, Japan",win,Jake Shields,Yoshihiro Akiyama,0,0,91,33,2,2,0,0,Welterweight,U-DEC,,3,5:00
"February 25, 2012","Saitama, Japan",win,Tim Boetsch,Yushin Okami,1,0,42,29,0,1,1,0,Middleweight,KO/TKO,Punches,3,0:54
"February 25, 2012","Saitama, Japan",win,Hatsu Hioki,Bart Palaszewski,0,0,67,26,2,0,2,1,Featherweight,U-DEC,,3,5:00
"February 25, 2012","Saitama, Japan",win,Anthony Pettis,Joe Lauzon,1,0,9,0,0,0,0,0,Lightweight,KO/TKO,Kick,1,1:21
"February 25, 2012","Saitama, Japan",win,Takanori Gomi,Eiji Mitsuoka,0,1,48,32,0,1,0,1,Lightweight,KO/TKO,Punches,2,2:21
"February 25, 2012","Saitama, Japan",win,Vaughan Lee,Norifumi Yamamoto,1,0,14,21,0,1,2,0,Bantamweight,SUB,Armbar,1,4:29
"February 25, 2012","Saitama, Japan",win,Riki Fukuda,Steve Cantwell,0,0,124,47,3,1,0,1,Middleweight,U-DEC,,3,5:00
"February 25, 2012","Saitama, Japan",win,Chris Cariaso,Takeya Mizugaki,0,0,37,28,0,2,0,0,Bantamweight,U-DEC,,3,5:00
"February 25, 2012","Saitama, Japan",win,Issei Tamura,Zhang Tiequan,2,0,15,6,1,0,0,1,Featherweight,KO/TKO,Punch,2,0:32
