Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 02, 2013","Saitama, Japan",win,Wanderlei Silva,Brian Stann,2,1,43,43,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,4:08
"March 02, 2013","Saitama, Japan",win,Mark Hunt,Stefan Struve,1,0,47,24,1,0,0,1,Heavyweight,KO/TKO,Punch,3,1:44
"March 02, 2013","Saitama, Japan",win,Diego Sanchez,Takanori Gomi,0,0,65,81,2,0,1,0,Lightweight,S-DEC,,3,5:00
"March 02, 2013","Saitama, Japan",win,Yushin Okami,Hector Lombard,0,0,37,45,3,0,0,0,Middleweight,S-DEC,,3,5:00
"March 02, 2013","Saitama, Japan",win,Rani Yahya,Mizuto Hirota,0,0,13,4,5,1,1,0,Featherweight,U-DEC,,3,5:00
"March 02, 2013","Saitama, Japan",win,Dong Hyun Kim,Siyar Bahadurzada,0,0,23,5,3,0,1,0,Welterweight,U-DEC,,3,5:00
"March 02, 2013","Saitama, Japan",win,Brad Tavares,Riki Fukuda,0,0,116,69,0,1,0,0,Middleweight,U-DEC,,3,5:00
"March 02, 2013","Saitama, Japan",win,Takeya Mizugaki,Bryan Caraway,0,0,67,37,0,2,0,1,Bantamweight,S-DEC,,3,5:00
"March 02, 2013","Saitama, Japan",win,Kazuki Tokudome,Cristiano Marcello,1,0,33,33,2,1,0,0,Lightweight,U-DEC,,3,5:00
"March 02, 2013","Saitama, Japan",ncnc,Alex Caceres,Kyung Ho Kang,0,0,30,16,0,5,0,0,Bantamweight,Overturned,,3,5:00
"March 02, 2013","Saitama, Japan",win,Hyun Gyu Lim,Marcelo Guimaraes,1,0,62,47,0,2,0,0,Welterweight,KO/TKO,Knee,2,4:00
