Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 28, 2013","Las Vegas, Nevada, USA",win,Chris Weidman,Anderson Silva,1,0,20,8,1,0,1,0,Middleweight,KO/TKO,,2,1:16
"December 28, 2013","Las Vegas, Nevada, USA",win,Ronda Rousey,Miesha Tate,0,0,40,24,6,1,3,0,Women's Bantamweight,SUB,Armbar,3,0:58
"December 28, 2013","Las Vegas, Nevada, USA",win,Travis Browne,Josh Barnett,0,0,12,5,0,0,0,0,Heavyweight,KO/TKO,Elbows,1,1:00
"December 28, 2013","Las Vegas, Nevada, USA",win,Jim Miller,Fabricio Camoes,0,0,6,11,1,0,1,0,Lightweight,SUB,Armbar,1,3:42
"December 28, 2013","Las Vegas, Nevada, USA",win,Dustin Poirier,Diego Brandao,1,0,44,16,0,1,0,0,Featherweight,KO/TKO,Punches,1,4:54
"December 28, 2013","Las Vegas, Nevada, USA",win,Uriah Hall,Chris Leben,1,0,20,11,0,0,0,0,Middleweight,KO/TKO,,1,5:00
"December 28, 2013","Las Vegas, Nevada, USA",win,Michael Johnson,Gleison Tibau,1,0,22,12,0,0,0,0,Lightweight,KO/TKO,Punch,2,1:32
"December 28, 2013","Las Vegas, Nevada, USA",ncnc,Dennis Siver,Manvel Gamburyan,0,0,54,14,2,3,0,0,Featherweight,Overturned,,3,5:00
"December 28, 2013","Las Vegas, Nevada, USA",win,John Howard,Siyar Bahadurzada,0,0,47,44,3,1,0,0,Welterweight,U-DEC,,3,5:00
"December 28, 2013","Las Vegas, Nevada, USA",win,William Macario,Bobby Voelker,0,0,133,61,3,0,0,0,Welterweight,U-DEC,,3,5:00
"December 28, 2013","Las Vegas, Nevada, USA",win,Robert Peralta,Estevan Payan,1,0,34,32,2,1,0,0,Featherweight,KO/TKO,Punches,3,0:12
