Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 02, 2011","Las Vegas, Nevada, USA",win,Dominick Cruz,Urijah Faber,0,0,90,50,4,1,0,0,Bantamweight,U-DEC,,5,5:00
"July 02, 2011","Las Vegas, Nevada, USA",win,Chris Leben,Wanderlei Silva,1,0,9,3,0,0,0,0,Middleweight,KO/TKO,Punches,1,0:27
"July 02, 2011","Las Vegas, Nevada, USA",win,Dennis Siver,Matt Wiman,0,0,31,26,1,5,0,2,Lightweight,U-DEC,,3,5:00
"July 02, 2011","Las Vegas, Nevada, USA",win,Tito Ortiz,Ryan Bader,1,0,6,4,0,0,1,0,Light Heavyweight,SUB,Guillotine Choke,1,1:56
"July 02, 2011","Las Vegas, Nevada, USA",win,Carlos Condit,Dong Hyun Kim,1,0,8,1,0,1,1,0,Welterweight,KO/TKO,Flying Knee,1,2:58
"July 02, 2011","Las Vegas, Nevada, USA",win,Melvin Guillard,Shane Roller,2,0,17,1,0,0,0,0,Lightweight,KO/TKO,Punch,1,2:12
"July 02, 2011","Las Vegas, Nevada, USA",win,Rafael Dos Anjos,George Sotiropoulos,1,0,2,2,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:59
"July 02, 2011","Las Vegas, Nevada, USA",win,Brian Bowles,Takeya Mizugaki,0,0,29,14,1,0,0,0,Bantamweight,U-DEC,,3,5:00
"July 02, 2011","Las Vegas, Nevada, USA",win,Aaron Simpson,Brad Tavares,0,0,43,13,2,1,2,0,Middleweight,U-DEC,,3,5:00
"July 02, 2011","Las Vegas, Nevada, USA",win,Anthony Njokuani,Andre Winner,0,0,116,15,2,0,0,0,Lightweight,U-DEC,,3,5:00
"July 02, 2011","Las Vegas, Nevada, USA",win,Jeff Hougland,Donny Walker,0,0,61,31,1,0,4,2,Bantamweight,U-DEC,,3,5:00
