Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Thiago Santos,Eryk Anders,0,0,100,32,1,6,0,1,Light Heavyweight,KO/TKO,,3,5:00
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Alex Oliveira,Carlo Pedersoli Jr.,0,0,7,2,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:39
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Rogerio Nogueira,Sam Alvey,1,0,26,34,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,1:00
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Andre Ewell,Renan Barao,1,0,53,44,1,3,0,2,Bantamweight,S-DEC,,3,5:00
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",drawdraw,Randa Markos,Marina Rodriguez,0,0,48,60,2,0,0,0,Women's Strawweight,M-DEC,,3,5:00
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Charles Oliveira,Christos Giagos,0,0,28,18,2,0,1,0,Lightweight,SUB,Rear Naked Choke,2,3:22
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Francisco Trinaldo,Evan Dunham,1,0,28,25,0,1,0,0,Lightweight,KO/TKO,Knee,2,4:10
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Ryan Spann,Luis Henrique,0,0,46,30,0,4,1,1,Light Heavyweight,U-DEC,,3,5:00
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Augusto Sakai,Chase Sherman,0,0,111,79,1,0,0,0,Heavyweight,KO/TKO,Punches,3,4:03
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Sergio Moraes,Ben Saunders,0,0,2,1,2,0,2,0,Welterweight,SUB,Arm Triangle,2,4:42
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Mayra Bueno Silva,Gillian Robertson,0,0,11,11,0,1,1,0,Women's Flyweight,SUB,Armbar,1,4:55
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Thales Leites,Hector Lombard,0,0,54,46,2,0,0,0,Middleweight,U-DEC,,3,5:00
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Elizeu Zaleski dos Santos,Luigi Vendramini,1,0,15,4,0,0,0,1,Welterweight,KO/TKO,Flying Knee,2,1:20
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",win,Livinha Souza,Alex Chambers,0,0,10,4,1,0,1,0,Women's Strawweight,SUB,Guillotine Choke,1,1:21
