Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 19, 2009","Dallas, Texas, USA",win,Vitor Belfort,Rich Franklin,0,0,9,4,0,0,0,0,Catch Weight,KO/TKO,Punch,1,3:02
"September 19, 2009","Dallas, Texas, USA",win,Junior Dos Santos,Mirko Filipovic,0,0,70,22,0,0,0,0,Heavyweight,KO/TKO,Punches,3,2:00
"September 19, 2009","Dallas, Texas, USA",win,Paul Daley,Martin Kampmann,0,0,27,12,0,0,0,0,Welterweight,KO/TKO,Punches,1,2:31
"September 19, 2009","Dallas, Texas, USA",win,Josh Koscheck,Frank Trigg,1,0,9,1,0,0,0,0,Welterweight,KO/TKO,Punch,1,1:25
"September 19, 2009","Dallas, Texas, USA",win,Tyson Griffin,Hermes Franca,1,0,67,11,0,0,0,0,Lightweight,KO/TKO,Punch,2,3:26
"September 19, 2009","Dallas, Texas, USA",win,Efrain Escudero,Cole Miller,1,0,10,6,1,0,0,0,Lightweight,KO/TKO,Punch,1,3:36
"September 19, 2009","Dallas, Texas, USA",win,Tomasz Drwal,Drew McFedries,0,0,31,17,3,0,1,0,Middleweight,SUB,Rear Naked Choke,2,1:03
"September 19, 2009","Dallas, Texas, USA",win,Jim Miller,Steve Lopez,1,0,30,6,0,0,1,0,Lightweight,KO/TKO,,2,0:48
"September 19, 2009","Dallas, Texas, USA",win,Nik Lentz,Rafaello Oliveira,0,0,67,29,4,4,4,0,Lightweight,U-DEC,,3,5:00
"September 19, 2009","Dallas, Texas, USA",win,Rick Story,Brian Foster,0,0,18,6,3,0,1,1,Welterweight,SUB,Arm Triangle,2,1:09
"September 19, 2009","Dallas, Texas, USA",win,Eliot Marshall,Jason Brilz,0,0,29,27,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"September 19, 2009","Dallas, Texas, USA",win,Vladimir Matyushenko,Igor Pokrajac,0,0,44,17,4,1,1,0,Light Heavyweight,U-DEC,,3,5:00
"September 19, 2009","Dallas, Texas, USA",win,Rafael Dos Anjos,Rob Emerson,0,0,52,27,2,0,0,0,Lightweight,U-DEC,,3,5:00
