Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 09, 2020","Jacksonville, Florida, USA",win,Justin Gaethje,Tony Ferguson,0,0,143,136,0,0,0,0,Lightweight,KO/TKO,Punch,5,3:39
"May 09, 2020","Jacksonville, Florida, USA",win,Henry Cejudo,Dominick Cruz,1,0,53,33,1,0,0,0,Bantamweight,KO/TKO,Knee,2,4:58
"May 09, 2020","Jacksonville, Florida, USA",win,Francis Ngannou,Jairzinho Rozenstruik,1,0,6,5,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:20
"May 09, 2020","Jacksonville, Florida, USA",win,Calvin Kattar,Jeremy Stephens,1,0,52,57,0,0,0,0,Featherweight,KO/TKO,Elbow,2,2:49
"May 09, 2020","Jacksonville, Florida, USA",win,Greg Hardy,Yorgan De Castro,0,0,55,24,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"May 09, 2020","Jacksonville, Florida, USA",win,Anthony Pettis,Donald Cerrone,0,0,63,62,0,2,0,0,Welterweight,U-DEC,,3,5:00
"May 09, 2020","Jacksonville, Florida, USA",win,Aleksei Oleinik,Fabricio Werdum,0,0,94,53,0,3,0,1,Heavyweight,S-DEC,,3,5:00
"May 09, 2020","Jacksonville, Florida, USA",win,Carla Esparza,Michelle Waterson-Gomez,0,0,45,44,1,0,0,0,Women's Strawweight,S-DEC,,3,5:00
"May 09, 2020","Jacksonville, Florida, USA",win,Vicente Luque,Niko Price,1,0,130,129,0,1,0,0,Welterweight,KO/TKO,Punches,3,3:37
"May 09, 2020","Jacksonville, Florida, USA",win,Bryce Mitchell,Charles Rosa,0,0,40,5,3,0,5,0,Featherweight,U-DEC,,3,5:00
"May 09, 2020","Jacksonville, Florida, USA",win,Ryan Spann,Sam Alvey,0,0,51,57,2,0,1,0,Light Heavyweight,S-DEC,,3,5:00
