Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 09, 2015","Adelaide, South Australia, Australia",win,Stipe Miocic,Mark Hunt,0,0,113,33,6,0,0,0,Heavyweight,KO/TKO,Punches,5,2:47
"May 09, 2015","Adelaide, South Australia, Australia",win,Robert Whittaker,Brad Tavares,1,0,10,2,0,0,0,0,Middleweight,KO/TKO,Punch,1,0:44
"May 09, 2015","Adelaide, South Australia, Australia",win,Sean O'Connell,Anthony Perosh,0,0,20,3,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,0:56
"May 09, 2015","Adelaide, South Australia, Australia",win,James Vick,Jake Matthews,0,0,10,4,0,1,1,0,Lightweight,SUB,Guillotine Choke,1,4:53
"May 09, 2015","Adelaide, South Australia, Australia",win,Dan Hooker,Hatsu Hioki,1,0,21,32,0,2,0,0,Featherweight,KO/TKO,Kick,2,4:13
"May 09, 2015","Adelaide, South Australia, Australia",win,Kyle Noke,Jonavin Webb,0,1,31,23,0,2,0,2,Welterweight,S-DEC,,3,5:00
"May 09, 2015","Adelaide, South Australia, Australia",win,Sam Alvey,Daniel Kelly,1,0,8,2,0,0,0,0,Middleweight,KO/TKO,Punch,1,0:49
"May 09, 2015","Adelaide, South Australia, Australia",win,Bec Rawlings,Lisa Ellis,0,0,21,7,0,1,1,0,Women's Strawweight,SUB,Rear Naked Choke,1,4:09
"May 09, 2015","Adelaide, South Australia, Australia",win,Brad Scott,Dylan Andrews,0,2,42,25,1,1,1,1,Middleweight,SUB,Guillotine Choke,2,4:54
"May 09, 2015","Adelaide, South Australia, Australia",win,Alex Chambers,Kailin Curran,0,0,44,81,2,2,2,0,Women's Strawweight,SUB,Armbar,3,3:15
"May 09, 2015","Adelaide, South Australia, Australia",win,Brendan O'Reilly,Vik Grujic,0,0,42,59,6,1,1,1,Welterweight,U-DEC,,3,5:00
"May 09, 2015","Adelaide, South Australia, Australia",win,Ben Nguyen,Alptekin Ozkilic,2,0,27,15,0,1,0,0,Flyweight,KO/TKO,Punch,1,4:59
