Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 15, 2012","Fairfax, Virginia, USA",win,Chan Sung Jung,Dustin Poirier,0,0,74,56,4,0,3,0,Featherweight,SUB,D'Arce Choke,4,1:07
"May 15, 2012","Fairfax, Virginia, USA",win,Amir Sadollah,Jorge Lopez,0,0,36,32,1,4,1,0,Welterweight,S-DEC,,3,5:00
"May 15, 2012","Fairfax, Virginia, USA",win,Donald Cerrone,Jeremy Stephens,0,0,87,46,1,0,0,0,Lightweight,U-DEC,,3,5:00
"May 15, 2012","Fairfax, Virginia, USA",win,Yves Jabouin,Jeff Hougland,1,0,50,18,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"May 15, 2012","Fairfax, Virginia, USA",win,Igor Pokrajac,Fabio Maldonado,0,0,36,98,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"May 15, 2012","Fairfax, Virginia, USA",win,Tom Lawlor,Jason MacDonald,1,0,5,1,0,0,0,0,Middleweight,KO/TKO,Punch,1,0:50
"May 15, 2012","Fairfax, Virginia, USA",win,Brad Tavares,Dongi Yang,0,0,39,32,2,1,0,0,Middleweight,U-DEC,,3,5:00
"May 15, 2012","Fairfax, Virginia, USA",win,Cody McKenzie,Marcus LeVesseur,0,0,1,7,0,2,2,1,Lightweight,SUB,Guillotine Choke,1,3:05
"May 15, 2012","Fairfax, Virginia, USA",win,TJ Grant,Carlo Prater,0,0,68,27,3,0,1,1,Lightweight,U-DEC,,3,5:00
"May 15, 2012","Fairfax, Virginia, USA",win,Rafael Dos Anjos,Kamal Shalorus,1,0,5,2,0,0,1,0,Lightweight,SUB,Rear Naked Choke,1,1:40
"May 15, 2012","Fairfax, Virginia, USA",win,Johnny Eduardo,Jeff Curran,0,0,51,31,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"May 15, 2012","Fairfax, Virginia, USA",win,Francisco Rivera,Alex Soto,1,0,68,41,0,3,0,0,Bantamweight,U-DEC,,3,5:00
