Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 17, 2022","Las Vegas, Nevada, USA",win,Cory Sandhagen,Song Yadong,0,0,94,54,1,2,0,0,Bantamweight,KO/TKO,,4,5:00
"September 17, 2022","Las Vegas, Nevada, USA",win,Gregory Rodrigues,Chidi Njokuani,1,0,48,44,1,0,0,0,Middleweight,KO/TKO,Punches,2,1:27
"September 17, 2022","Las Vegas, Nevada, USA",win,Andre Fili,Bill Algeo,0,0,59,81,1,0,2,0,Featherweight,S-DEC,,3,5:00
"September 17, 2022","Las Vegas, Nevada, USA",win,Joe Pyfer,Alen Amedovski,1,0,14,11,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:55
"September 17, 2022","Las Vegas, Nevada, USA",win,Rodrigo Nascimento,Tanner Boser,0,0,36,62,3,0,1,0,Heavyweight,S-DEC,,3,5:00
"September 17, 2022","Las Vegas, Nevada, USA",win,Anthony Hernandez,Marc-Andre Barriault,0,0,39,25,8,0,2,0,Middleweight,SUB,Arm Triangle,3,1:53
"September 17, 2022","Las Vegas, Nevada, USA",win,Damon Jackson,Pat Sabatini,0,0,11,1,1,0,0,0,Featherweight,KO/TKO,Punches,1,1:09
"September 17, 2022","Las Vegas, Nevada, USA",win,Trevin Giles,Louis Cosce,0,0,25,10,2,1,0,1,Welterweight,U-DEC,,3,5:00
"September 17, 2022","Las Vegas, Nevada, USA",win,Loma Lookboonmee,Denise Gomes,0,0,48,19,4,0,0,3,Women's Strawweight,U-DEC,,3,5:00
"September 17, 2022","Las Vegas, Nevada, USA",win,Trey Ogden,Daniel Zellhuber,0,0,71,52,1,0,0,0,Lightweight,U-DEC,,3,5:00
"September 17, 2022","Las Vegas, Nevada, USA",win,Gillian Robertson,Mariya Agapova,0,0,4,39,3,0,1,1,Women's Flyweight,SUB,Rear Naked Choke,2,2:19
"September 17, 2022","Las Vegas, Nevada, USA",win,Javid Basharat,Tony Gravely,0,0,80,33,2,2,0,0,Bantamweight,U-DEC,,3,5:00
"September 17, 2022","Las Vegas, Nevada, USA",win,Nikolas Motta,Cameron VanCamp,1,0,24,15,0,0,0,0,Lightweight,KO/TKO,Punch,1,3:49
