Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 04, 2014","Stockholm, Sweden",win,Rick Story,Gunnar Nelson,1,0,168,53,1,1,0,0,Welterweight,S-DEC,,5,5:00
"October 04, 2014","Stockholm, Sweden",win,Max Holloway,Akira Corassani,1,0,31,11,0,0,0,0,Featherweight,KO/TKO,Punch,1,3:11
"October 04, 2014","Stockholm, Sweden",win,Jan Blachowicz,Ilir Latifi,0,0,13,2,0,0,0,0,Light Heavyweight,KO/TKO,Kick,1,1:58
"October 04, 2014","Stockholm, Sweden",win,Mike Wilkinson,Niklas Backstrom,1,0,6,7,0,0,0,0,Featherweight,KO/TKO,Punch,1,1:19
"October 04, 2014","Stockholm, Sweden",win,Magnus Cedenblad,Scott Askham,0,1,23,42,3,0,0,0,Middleweight,U-DEC,,3,5:00
"October 04, 2014","Stockholm, Sweden",win,Nicholas Musoke,Alexander Yakovlev,0,0,70,44,0,0,0,0,Welterweight,U-DEC,,3,5:00
"October 04, 2014","Stockholm, Sweden",win,Dennis Siver,Charles Rosa,0,0,33,22,3,2,1,1,Featherweight,U-DEC,,3,5:00
"October 04, 2014","Stockholm, Sweden",win,Cathal Pendred,Gasan Umalatov,0,0,55,38,1,0,0,0,Welterweight,S-DEC,,3,5:00
"October 04, 2014","Stockholm, Sweden",win,Krzysztof Jotko,Tor Troeng,0,0,74,15,1,0,0,0,Middleweight,U-DEC,,3,5:00
"October 04, 2014","Stockholm, Sweden",win,Mairbek Taisumov,Marcin Bandel,1,0,9,3,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:01
"October 04, 2014","Stockholm, Sweden",win,Zubaira Tukhugov,Ernest Chavez,0,0,40,12,0,0,0,0,Featherweight,KO/TKO,Punches,1,4:21
