Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 16, 2023","Las Vegas, Nevada, USA",drawdraw,Alexa Grasso,Valentina Shevchenko,1,0,84,80,1,4,1,1,Women's Flyweight,S-DEC,,5,5:00
"September 16, 2023","Las Vegas, Nevada, USA",win,Jack Della Maddalena,Kevin Holland,0,0,105,127,0,0,0,0,Welterweight,S-DEC,,3,5:00
"September 16, 2023","Las Vegas, Nevada, USA",win,Raul Rosas Jr.,Terrence Mitchell,1,0,18,6,0,0,0,0,Bantamweight,KO/TKO,Punches,1,0:54
"September 16, 2023","Las Vegas, Nevada, USA",win,Daniel Zellhuber,Christos Giagos,0,0,36,38,0,0,1,0,Lightweight,SUB,Anaconda Choke,2,3:26
"September 16, 2023","Las Vegas, Nevada, USA",win,Kyle Nelson,Fernando Padilla,0,0,82,72,0,0,0,0,Featherweight,U-DEC,,3,5:00
"September 16, 2023","Las Vegas, Nevada, USA",win,Loopy Godinez,Elise Reed,1,0,21,3,5,0,6,0,Women's Strawweight,SUB,Rear Naked Choke,2,3:38
"September 16, 2023","Las Vegas, Nevada, USA",win,Roman Kopylov,Josh Fremd,1,0,49,38,0,0,0,0,Middleweight,KO/TKO,Punch,2,4:44
"September 16, 2023","Las Vegas, Nevada, USA",ncnc,Edgar Chairez,Daniel Lacerda,0,0,12,4,0,1,1,0,Flyweight,Overturned,,1,3:47
"September 16, 2023","Las Vegas, Nevada, USA",win,Tracy Cortez,Jasmine Jasudavicius,0,0,103,77,0,2,0,0,Women's Flyweight,U-DEC,,3,5:00
"September 16, 2023","Las Vegas, Nevada, USA",win,Charlie Campbell,Alex Reyes,1,0,43,14,0,0,0,0,Lightweight,KO/TKO,Punches,1,3:38
"September 16, 2023","Las Vegas, Nevada, USA",win,Josefine Knutsson,Marnic Mann,0,0,81,8,3,0,0,0,Women's Strawweight,U-DEC,,3,5:00
