Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 16, 2022","Elmont, New York, USA",win,Yair Rodriguez,Brian Ortega,0,0,23,22,0,1,0,0,Featherweight,KO/TKO,,1,4:11
"July 16, 2022","Elmont, New York, USA",win,Amanda Lemos,Michelle Waterson-Gomez,0,0,20,29,0,1,1,0,Women's Strawweight,SUB,Guillotine Choke,2,1:48
"July 16, 2022","Elmont, New York, USA",win,Li Jingliang,Muslim Salikhov,1,0,38,23,1,1,0,0,Welterweight,KO/TKO,Punches,2,4:38
"July 16, 2022","Elmont, New York, USA",win,Matt Schnell,Sumudaerji,0,1,47,58,2,0,2,0,Flyweight,SUB,Triangle Choke,2,4:24
"July 16, 2022","Elmont, New York, USA",win,Shane Burgos,Charles Jourdain,0,0,42,113,2,0,3,0,Featherweight,M-DEC,,3,5:00
"July 16, 2022","Elmont, New York, USA",win,Lauren Murphy,Miesha Tate,0,0,102,85,2,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"July 16, 2022","Elmont, New York, USA",win,Punahele Soriano,Dalcha Lungiambula,1,0,17,11,0,2,0,0,Middleweight,KO/TKO,Punch,2,0:28
"July 16, 2022","Elmont, New York, USA",win,Ricky Simon,Jack Shore,1,0,25,19,2,0,1,0,Bantamweight,SUB,Arm Triangle,2,3:28
"July 16, 2022","Elmont, New York, USA",win,Bill Algeo,Herbert Burns,0,0,28,10,1,1,0,2,Featherweight,KO/TKO,,2,1:50
"July 16, 2022","Elmont, New York, USA",win,Dustin Jacoby,Da Woon Jung,1,0,14,14,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:13
"July 16, 2022","Elmont, New York, USA",win,Dustin Stoltzfus,Dwight Grant,0,0,49,52,2,0,0,0,Middleweight,U-DEC,,3,5:00
"July 16, 2022","Elmont, New York, USA",win,Emily Ducote,Jessica Penne,0,0,116,63,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
