Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 10, 2017","Auckland, New Zealand",win,Mark Hunt,Derrick Lewis,0,0,59,51,0,0,0,0,Heavyweight,KO/TKO,Punches,4,3:51
"June 10, 2017","Auckland, New Zealand",win,Derek Brunson,Daniel Kelly,1,0,8,1,0,0,0,0,Middleweight,KO/TKO,Punch,1,1:16
"June 10, 2017","Auckland, New Zealand",win,Dan Hooker,Ross Pearson,1,0,69,38,0,0,0,0,Lightweight,KO/TKO,Knee,2,3:02
"June 10, 2017","Auckland, New Zealand",win,Ion Cutelaba,Henrique da Silva,1,0,15,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:22
"June 10, 2017","Auckland, New Zealand",win,Ben Nguyen,Tim Elliott,0,0,3,1,1,0,1,0,Flyweight,SUB,Rear Naked Choke,1,0:49
"June 10, 2017","Auckland, New Zealand",win,Alexander Volkanovski,Mizuto Hirota,1,0,87,46,4,0,0,0,Featherweight,U-DEC,,3,5:00
"June 10, 2017","Auckland, New Zealand",win,Vinc Pichel,Damien Brown,1,0,19,21,0,0,0,0,Lightweight,KO/TKO,Punch,1,3:37
"June 10, 2017","Auckland, New Zealand",win,Luke Jumeau,Dominique Steele,0,0,40,44,0,1,0,0,Welterweight,U-DEC,,3,5:00
"June 10, 2017","Auckland, New Zealand",win,John Moraga,Ashkan Mokhtarian,0,0,56,12,2,1,4,0,Flyweight,U-DEC,,3,5:00
"June 10, 2017","Auckland, New Zealand",win,Zak Ottow,Kiichi Kunimoto,0,0,37,25,2,2,0,0,Welterweight,S-DEC,,3,5:00
"June 10, 2017","Auckland, New Zealand",win,JJ Aldrich,Chan-Mi Jeon,0,0,98,92,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
