Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 05, 2009","Las Vegas, Nevada, USA",win,Roy Nelson,Brendan Schaub,1,0,8,12,1,0,0,0,Heavyweight,KO/TKO,Punch,1,3:45
"December 05, 2009","Las Vegas, Nevada, USA",win,Matt Hamill,Jon Jones,0,0,5,44,0,1,0,0,Light Heavyweight,DQ,,1,4:14
"December 05, 2009","Las Vegas, Nevada, USA",win,Kevin Ferguson,Houston Alexander,0,0,27,43,4,0,1,0,Catch Weight,U-DEC,,3,5:00
"December 05, 2009","Las Vegas, Nevada, USA",win,Frankie Edgar,Matt Veach,0,0,25,7,0,3,1,0,Lightweight,SUB,Rear Naked Choke,2,2:20
"December 05, 2009","Las Vegas, Nevada, USA",win,Matt Mitrione,Marcus Jones,1,0,14,10,0,3,0,1,Heavyweight,KO/TKO,Punches,2,0:10
"December 05, 2009","Las Vegas, Nevada, USA",win,James McSweeney,Darrill Schoonover,0,0,58,16,1,0,2,1,Heavyweight,KO/TKO,Knee,3,3:20
"December 05, 2009","Las Vegas, Nevada, USA",win,Jon Madsen,Justin Wren,0,0,26,17,0,0,0,0,Heavyweight,S-DEC,,3,5:00
"December 05, 2009","Las Vegas, Nevada, USA",win,Brian Stann,Rodney Wallace,0,0,36,15,0,7,0,2,Light Heavyweight,U-DEC,,3,5:00
"December 05, 2009","Las Vegas, Nevada, USA",win,John Howard,Dennis Hallman,1,0,14,8,2,2,0,2,Welterweight,KO/TKO,Punches,3,4:55
"December 05, 2009","Las Vegas, Nevada, USA",win,Mark Bocek,Joe Brammer,0,0,6,3,2,0,1,0,Lightweight,SUB,Rear Naked Choke,1,3:36
