Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 10, 2022","Las Vegas, Nevada, USA",win,Nate Diaz,Tony Ferguson,0,0,101,80,0,1,1,0,Welterweight,SUB,Guillotine Choke,4,2:52
"September 10, 2022","Las Vegas, Nevada, USA",win,Khamzat Chimaev,Kevin Holland,0,0,0,0,2,0,2,0,Catch Weight,SUB,D'Arce Choke,1,2:13
"September 10, 2022","Las Vegas, Nevada, USA",win,Daniel Rodriguez,Li Jingliang,0,0,88,78,0,1,0,0,Catch Weight,S-DEC,,3,5:00
"September 10, 2022","Las Vegas, Nevada, USA",win,Irene Aldana,Macy Chiasson,1,0,37,39,0,3,2,0,Catch Weight,KO/TKO,Kick,3,2:21
"September 10, 2022","Las Vegas, Nevada, USA",win,Johnny Walker,Ion Cutelaba,0,0,3,3,1,1,3,0,Light Heavyweight,SUB,Rear Naked Choke,1,4:37
"September 10, 2022","Las Vegas, Nevada, USA",win,Julian Erosa,Hakeem Dawodu,0,0,92,74,2,0,0,0,Featherweight,U-DEC,,3,5:00
"September 10, 2022","Las Vegas, Nevada, USA",win,Jailton Almeida,Anton Turkalj,0,0,17,1,3,0,2,0,Catch Weight,SUB,Rear Naked Choke,1,4:27
"September 10, 2022","Las Vegas, Nevada, USA",win,Denis Tiuliulin,Jamie Pickett,2,0,73,60,0,0,0,0,Middleweight,KO/TKO,Punches,2,4:52
"September 10, 2022","Las Vegas, Nevada, USA",win,Chris Barnett,Jake Collier,0,1,54,51,0,1,0,1,Heavyweight,KO/TKO,Punches,2,2:24
"September 10, 2022","Las Vegas, Nevada, USA",win,Norma Dumont,Danyelle Wolf,1,0,52,20,2,0,0,0,Women's Featherweight,U-DEC,,3,5:00
"September 10, 2022","Las Vegas, Nevada, USA",win,Alatengheili,Chad Anheliger,0,0,49,39,2,0,0,0,Bantamweight,U-DEC,,3,5:00
"September 10, 2022","Las Vegas, Nevada, USA",win,Elise Reed,Melissa Martinez,1,0,38,45,3,1,0,0,Women's Strawweight,U-DEC,,3,5:00
"September 10, 2022","Las Vegas, Nevada, USA",win,Yohan Lainesse,Darian Weeks,0,0,23,44,0,1,0,0,Welterweight,S-DEC,,3,5:00
