Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 21, 2019","Mexico City, Distrito Federal, Mexico",ncnc,Yair Rodriguez,Jeremy Stephens,0,0,2,0,0,0,0,0,Featherweight,CNC,,1,0:15
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Carla Esparza,Alexa Grasso,0,0,44,45,4,0,0,1,Women's Strawweight,M-DEC,,3,5:00
"September 21, 2019","Mexico City, Distrito Federal, Mexico",drawdraw,Brandon Moreno,Askar Askarov,1,0,34,30,1,4,0,0,Flyweight,S-DEC,,3,5:00
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Irene Aldana,Vanessa Melo,0,0,125,68,0,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Steven Peterson,Martin Bravo,1,0,49,86,0,2,0,0,Featherweight,KO/TKO,Spinning Back Fist,2,1:31
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Jose Quinonez,Carlos Huachin,1,0,60,32,2,0,0,0,Bantamweight,U-DEC,,3,5:00
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Kyle Nelson,Marco Polo Reyes,0,0,12,6,0,0,0,0,Featherweight,KO/TKO,Punch,1,1:36
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Angela Hill,Ariane Carnelossi,0,0,92,72,0,0,0,0,Women's Strawweight,KO/TKO,Elbow,3,1:56
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Sergio Pettis,Tyson Nam,0,0,96,40,0,0,0,0,Flyweight,U-DEC,,3,5:00
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Paul Craig,Vinicius Moreira,1,0,18,1,1,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,1,3:19
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Bethe Correia,Sijara Eubanks,0,0,59,77,0,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
"September 21, 2019","Mexico City, Distrito Federal, Mexico",win,Claudio Puelles,Marcos Mariano,0,0,22,2,4,0,2,0,Lightweight,U-DEC,,3,5:00
