Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 01, 2012","Las Vegas, Nevada, USA",win,Martin Kampmann,Jake Ellenberger,1,1,13,19,0,0,0,0,Welterweight,KO/TKO,Knee,2,1:40
"June 01, 2012","Las Vegas, Nevada, USA",win,Michael Chiesa,Al Iaquinta,0,0,9,8,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,2:47
"June 01, 2012","Las Vegas, Nevada, USA",win,Charles Oliveira,Jonathan Brookins,0,0,42,27,1,1,1,1,Featherweight,SUB,Anaconda Choke,2,2:42
"June 01, 2012","Las Vegas, Nevada, USA",win,Max Holloway,Pat Schilling,1,0,118,27,0,0,0,0,Featherweight,U-DEC,,3,5:00
"June 01, 2012","Las Vegas, Nevada, USA",win,Justin Lawrence,John Cofer,1,0,54,36,1,2,0,0,Lightweight,KO/TKO,Kick,3,0:19
"June 01, 2012","Las Vegas, Nevada, USA",win,Daron Cruickshank,Chris Tickle,0,0,17,16,4,1,0,2,Lightweight,U-DEC,,3,5:00
"June 01, 2012","Las Vegas, Nevada, USA",win,Myles Jury,Chris Saunders,0,0,12,6,0,1,1,0,Lightweight,SUB,Guillotine Choke,1,4:03
"June 01, 2012","Las Vegas, Nevada, USA",win,Sam Sicilia,Cristiano Marcello,0,0,33,39,0,0,0,0,Lightweight,KO/TKO,Knee,2,2:53
"June 01, 2012","Las Vegas, Nevada, USA",win,Joe Proctor,Jeremy Larsen,1,0,10,13,0,0,0,0,Lightweight,KO/TKO,Knee,1,1:59
"June 01, 2012","Las Vegas, Nevada, USA",win,Erik Perez,John Albert,0,0,18,6,0,0,1,2,Bantamweight,SUB,Armbar,1,4:18
