Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 07, 2021","Houston, Texas, USA",win,Ciryl Gane,Derrick Lewis,0,0,98,16,0,0,0,0,Heavyweight,KO/TKO,Punches,3,4:11
"August 07, 2021","Houston, Texas, USA",win,Jose Aldo,Pedro Munhoz,0,0,114,75,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"August 07, 2021","Houston, Texas, USA",win,Vicente Luque,Michael Chiesa,0,0,7,4,0,1,1,2,Welterweight,SUB,D'Arce Choke,1,3:25
"August 07, 2021","Houston, Texas, USA",win,Tecia Pennington,Angela Hill,0,0,144,96,1,2,0,0,Women's Strawweight,U-DEC,,3,5:00
"August 07, 2021","Houston, Texas, USA",win,Song Yadong,Casey Kenney,0,0,116,78,0,1,0,0,Bantamweight,S-DEC,,3,5:00
"August 07, 2021","Houston, Texas, USA",win,Rafael Fiziev,King Green,0,0,104,143,0,0,0,0,Lightweight,U-DEC,,3,5:00
"August 07, 2021","Houston, Texas, USA",win,Vince Morales,Drako Rodriguez,0,0,76,55,1,3,0,0,Bantamweight,U-DEC,,3,5:00
"August 07, 2021","Houston, Texas, USA",win,Alonzo Menifield,Ed Herman,0,0,93,41,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"August 07, 2021","Houston, Texas, USA",win,Jessica Penne,Karolina Kowalkiewicz,0,0,12,8,1,1,1,0,Women's Strawweight,SUB,Armbar,1,4:32
"August 07, 2021","Houston, Texas, USA",win,Manel Kape,Ode Osbourne,1,0,19,18,0,0,0,0,Flyweight,KO/TKO,Flying Knee,1,4:44
"August 07, 2021","Houston, Texas, USA",win,Miles Johns,Anderson Dos Santos,1,0,80,32,0,0,0,0,Bantamweight,KO/TKO,Punch,3,1:16
"August 07, 2021","Houston, Texas, USA",win,Melissa Gatto,Victoria Leonardo,0,0,70,43,1,0,0,0,Women's Flyweight,KO/TKO,,2,5:00
"August 07, 2021","Houston, Texas, USA",win,Johnny Munoz,Jamey Simmons,0,0,14,7,2,0,3,0,Bantamweight,SUB,Rear Naked Choke,2,2:35
