Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Anthony Pettis,Benson Henderson,0,0,9,11,0,0,1,0,Lightweight,SUB,Armbar,1,4:41
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Josh Barnett,Frank Mir,1,0,26,9,0,0,0,0,Heavyweight,KO/TKO,Knee,1,1:56
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Chad Mendes,Clay Guida,1,0,32,17,3,0,1,0,Featherweight,KO/TKO,Punch,3,0:30
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Ben Rothwell,Brandon Vera,1,0,56,41,0,0,0,0,Heavyweight,KO/TKO,Punches,3,1:54
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Dustin Poirier,Erik Koch,2,0,54,32,2,0,2,5,Featherweight,U-DEC,,3,5:00
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Gleison Tibau,Jamie Varner,0,0,26,37,2,1,0,1,Lightweight,S-DEC,,3,5:00
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Tim Elliott,Louis Gaudinot,0,0,116,28,6,0,2,0,Flyweight,U-DEC,,3,5:00
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Hyun Gyu Lim,Pascal Krauss,2,0,26,21,1,0,0,0,Welterweight,KO/TKO,Knee,1,3:58
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Chico Camus,Kyung Ho Kang,0,0,28,18,0,3,1,0,Bantamweight,U-DEC,,3,5:00
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Soa Palelei,Nikita Krylov,0,0,29,45,4,0,0,2,Heavyweight,KO/TKO,Punches,3,1:34
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Al Iaquinta,Ryan Couture,0,0,80,45,4,0,0,0,Lightweight,U-DEC,,3,5:00
"August 31, 2013","Milwaukee, Wisconsin, USA",win,Magnus Cedenblad,Jared Hamman,0,0,4,3,0,0,1,0,Middleweight,SUB,Guillotine Choke,1,0:57
