Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 28, 2020","Las Vegas, Nevada, USA",win,Anthony Smith,Devin Clark,0,0,1,1,1,0,1,0,Light Heavyweight,SUB,Triangle Choke,1,2:34
"November 28, 2020","Las Vegas, Nevada, USA",win,Miguel Baeza,Takashi Sato,0,0,40,15,1,0,1,0,Welterweight,SUB,Arm Triangle,2,4:28
"November 28, 2020","Las Vegas, Nevada, USA",win,Parker Porter,Josh Parisian,0,0,126,114,2,0,1,0,Heavyweight,U-DEC,,3,5:00
"November 28, 2020","Las Vegas, Nevada, USA",win,Bill Algeo,Spike Carlyle,0,0,70,23,1,4,0,1,Featherweight,U-DEC,,3,5:00
"November 28, 2020","Las Vegas, Nevada, USA",win,Norma Dumont,Ashlee Evans-Smith,1,0,94,42,2,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"November 28, 2020","Las Vegas, Nevada, USA",win,Jonathan Pearce,Kai Kamaka,0,0,51,47,5,1,1,1,Featherweight,KO/TKO,Punches,2,4:28
"November 28, 2020","Las Vegas, Nevada, USA",win,Anderson Dos Santos,Martin Day,0,0,11,9,1,1,1,0,Bantamweight,SUB,Guillotine Choke,1,4:35
"November 28, 2020","Las Vegas, Nevada, USA",win,Gina Mazany,Rachael Ostovich,1,0,72,41,7,0,1,0,Women's Flyweight,KO/TKO,Kick,3,4:10
"November 28, 2020","Las Vegas, Nevada, USA",win,Sumudaerji,Malcolm Gordon,1,0,9,0,0,0,0,0,Flyweight,KO/TKO,Punches,1,0:44
"November 28, 2020","Las Vegas, Nevada, USA",win,Nate Maness,Luke Sanders,1,0,33,55,1,0,1,0,Catch Weight,SUB,Rear Naked Choke,2,2:29
