Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 25, 2015","Montreal, Quebec, Canada",win,Demetrious Johnson,Kyoji Horiguchi,0,0,66,31,14,1,1,0,Flyweight,SUB,Armbar,5,4:59
"April 25, 2015","Montreal, Quebec, Canada",win,Quinton Jackson,Fabio Maldonado,0,0,99,67,0,1,0,0,Catch Weight,U-DEC,,3,5:00
"April 25, 2015","Montreal, Quebec, Canada",win,Michael Bisping,CB Dollaway,0,1,75,47,0,2,0,0,Middleweight,U-DEC,,3,5:00
"April 25, 2015","Montreal, Quebec, Canada",win,John Makdessi,Shane Campbell,2,0,47,25,0,0,0,0,Catch Weight,KO/TKO,Punch,1,4:53
"April 25, 2015","Montreal, Quebec, Canada",win,Thomas Almeida,Yves Jabouin,0,0,31,20,0,1,0,0,Bantamweight,KO/TKO,Punches,1,4:18
"April 25, 2015","Montreal, Quebec, Canada",win,Patrick Cote,Joe Riggs,0,0,21,21,3,2,1,0,Welterweight,U-DEC,,3,5:00
"April 25, 2015","Montreal, Quebec, Canada",win,Alexis Davis,Sarah Kaufman,0,0,34,65,1,0,1,0,Women's Bantamweight,SUB,Armbar,2,3:07
"April 25, 2015","Montreal, Quebec, Canada",win,Chad Laprise,Bryan Barberena,0,0,84,94,0,1,0,0,Lightweight,U-DEC,,3,5:00
"April 25, 2015","Montreal, Quebec, Canada",win,Olivier Aubin-Mercier,David Michaud,1,0,49,17,3,0,1,0,Lightweight,SUB,Rear Naked Choke,3,1:35
"April 25, 2015","Montreal, Quebec, Canada",win,Nordine Taleb,Chris Clements,0,0,36,17,6,0,0,1,Welterweight,U-DEC,,3,5:00
"April 25, 2015","Montreal, Quebec, Canada",win,Valerie Letourneau,Jessica Rakoczy,0,0,38,46,2,1,2,1,Women's Strawweight,U-DEC,,3,5:00
"April 25, 2015","Montreal, Quebec, Canada",win,Randa Markos,Aisling Daly,0,0,18,27,2,2,1,1,Women's Strawweight,U-DEC,,3,5:00
