Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Kevin Lee,Michael Chiesa,0,0,22,4,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,4:37
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Tim Boetsch,Johny Hendricks,0,0,41,10,0,0,0,0,Middleweight,KO/TKO,Punches,2,0:46
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Felice Herrig,Justine Kish,0,0,47,40,2,0,1,0,Women's Strawweight,U-DEC,,3,5:00
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Dominick Reyes,Joachim Christensen,1,0,13,1,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,0:29
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Tim Means,Alex Garcia,0,0,64,32,0,0,0,0,Welterweight,U-DEC,,3,5:00
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Dennis Siver,BJ Penn,0,1,103,57,0,0,0,0,Featherweight,M-DEC,,3,5:00
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Clay Guida,Erik Koch,0,0,38,13,2,0,0,0,Lightweight,U-DEC,,3,5:00
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Marvin Vettori,Vitor Miranda,0,0,69,51,3,0,0,0,Middleweight,U-DEC,,3,5:00
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Carla Esparza,Maryna Moroz,0,0,40,38,6,0,0,1,Women's Strawweight,U-DEC,,3,5:00
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Darrell Horcher,Devin Powell,0,0,37,43,0,0,2,2,Lightweight,S-DEC,,3,5:00
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Jared Gordon,Michel Quinones,0,0,67,16,4,0,0,0,Featherweight,KO/TKO,Punches,2,4:24
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Anthony Rocco Martin,Johnny Case,0,0,82,92,1,0,1,0,Lightweight,U-DEC,,3,5:00
"June 25, 2017","Oklahoma City, Oklahoma, USA",win,Jeremy Kimball,Josh Stansbury,1,0,17,4,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,1:21
