Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 30, 2013","Las Vegas, Nevada, USA",win,Nate Diaz,Gray Maynard,0,0,33,5,0,1,0,0,Lightweight,KO/TKO,Punches,1,2:38
"November 30, 2013","Las Vegas, Nevada, USA",win,Julianna Pena,Jessica Rakoczy,0,0,33,4,2,0,0,0,Women's Bantamweight,KO/TKO,Punches,1,4:59
"November 30, 2013","Las Vegas, Nevada, USA",win,Chris Holdsworth,Davey Grant,0,0,15,18,1,0,1,0,Bantamweight,SUB,Rear Naked Choke,2,2:10
"November 30, 2013","Las Vegas, Nevada, USA",win,Jessamyn Duke,Peggy Morgan,0,0,123,34,1,0,3,0,Women's Bantamweight,U-DEC,,3,5:00
"November 30, 2013","Las Vegas, Nevada, USA",win,Raquel Pennington,Roxanne Modafferi,0,0,80,42,1,0,1,0,Women's Bantamweight,U-DEC,,3,5:00
"November 30, 2013","Las Vegas, Nevada, USA",win,Akira Corassani,Maximo Blanco,0,0,1,5,0,1,0,0,Featherweight,DQ,,1,0:25
"November 30, 2013","Las Vegas, Nevada, USA",win,Tom Niinimaki,Rani Yahya,0,0,17,15,4,2,0,4,Featherweight,S-DEC,,3,5:00
"November 30, 2013","Las Vegas, Nevada, USA",win,Jared Rosholt,Walt Harris,0,2,33,18,1,0,0,0,Heavyweight,U-DEC,,3,5:00
"November 30, 2013","Las Vegas, Nevada, USA",win,Sean Spencer,Drew Dober,0,0,105,61,0,0,0,0,Welterweight,U-DEC,,3,5:00
"November 30, 2013","Las Vegas, Nevada, USA",win,Josh Sampo,Ryan Benoit,0,0,28,18,2,0,5,1,Flyweight,SUB,Rear Naked Choke,2,4:31
