Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 12, 2020","Las Vegas, Nevada, USA",win,Michelle Waterson-Gomez,Angela Hill,0,0,128,131,1,0,0,0,Women's Strawweight,S-DEC,,5,5:00
"September 12, 2020","Las Vegas, Nevada, USA",win,Ottman Azaitar,Khama Worthy,0,0,16,1,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:33
"September 12, 2020","Las Vegas, Nevada, USA",win,Roxanne Modafferi,Andrea Lee,0,0,60,97,4,3,0,0,Women's Flyweight,U-DEC,,3,5:00
"September 12, 2020","Las Vegas, Nevada, USA",win,Ed Herman,Mike Rodriguez,0,2,40,89,2,0,1,0,Light Heavyweight,SUB,Kimura,3,2:41
"September 12, 2020","Las Vegas, Nevada, USA",win,King Green,Alan Patrick,0,0,61,19,4,1,0,0,Lightweight,U-DEC,,3,5:00
"September 12, 2020","Las Vegas, Nevada, USA",win,Billy Quarantillo,Kyle Nelson,1,0,79,56,2,0,0,0,Featherweight,KO/TKO,Punch,3,0:07
"September 12, 2020","Las Vegas, Nevada, USA",win,Sijara Eubanks,Julia Avila,0,0,53,34,3,1,3,0,Women's Bantamweight,U-DEC,,3,5:00
"September 12, 2020","Las Vegas, Nevada, USA",ncnc,Roosevelt Roberts,Kevin Croom,0,1,2,5,0,0,0,1,Lightweight,Overturned,Guillotine Choke,1,0:31
"September 12, 2020","Las Vegas, Nevada, USA",win,Alexandr Romanov,Roque Martinez,0,0,55,7,4,0,2,0,Heavyweight,SUB,Arm Triangle,2,4:22
"September 12, 2020","Las Vegas, Nevada, USA",win,Jalin Turner,Brok Weaver,2,0,66,56,1,1,1,0,Catch Weight,SUB,Rear Naked Choke,2,4:20
"September 12, 2020","Las Vegas, Nevada, USA",win,Bryan Barberena,Anthony Ivy,0,0,63,36,0,5,2,0,Welterweight,U-DEC,,3,5:00
"September 12, 2020","Las Vegas, Nevada, USA",win,Sabina Mazo,Justine Kish,1,0,131,93,0,1,1,0,Women's Flyweight,SUB,Rear Naked Choke,3,3:57
