Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 15, 2024","Las Vegas, Nevada, USA",win,Tatsuro Taira,Alex Perez,0,0,31,41,2,1,0,0,Flyweight,KO/TKO,,2,2:59
"June 15, 2024","Las Vegas, Nevada, USA",win,Miles Johns,Douglas Silva de Andrade,0,0,50,36,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"June 15, 2024","Las Vegas, Nevada, USA",win,Lucas Almeida,Timmy Cuamba,1,0,70,59,0,2,0,0,Featherweight,U-DEC,,3,5:00
"June 15, 2024","Las Vegas, Nevada, USA",win,Brady Hiestand,Garrett Armfield,0,1,22,49,6,0,3,1,Bantamweight,SUB,Rear Naked Choke,3,1:52
"June 15, 2024","Las Vegas, Nevada, USA",win,Asu Almabayev,Jose Johnson,0,0,20,5,6,1,4,1,Flyweight,U-DEC,,3,5:00
"June 15, 2024","Las Vegas, Nevada, USA",win,Adam Fugitt,Josh Quinlan,0,0,80,53,0,0,0,0,Welterweight,S-DEC,,3,5:00
"June 15, 2024","Las Vegas, Nevada, USA",win,Nate Maness,Jimmy Flick,0,0,89,37,0,1,2,2,Flyweight,U-DEC,,3,5:00
"June 15, 2024","Las Vegas, Nevada, USA",win,Gabriella Fernandes,Carli Judice,0,0,119,169,2,2,0,0,Women's Flyweight,S-DEC,,3,5:00
"June 15, 2024","Las Vegas, Nevada, USA",win,Westin Wilson,Jeka Saragih,0,0,0,4,1,0,3,0,Featherweight,SUB,Triangle Armbar,1,1:49
"June 15, 2024","Las Vegas, Nevada, USA",win,Melquizael Costa,Shayilan Nuerdanbieke,0,0,16,6,2,4,2,1,Featherweight,SUB,Rear Naked Choke,3,1:50
"June 15, 2024","Las Vegas, Nevada, USA",win,Josefine Knutsson,Julia Polastri,0,0,124,64,0,3,0,1,Women's Strawweight,U-DEC,,3,5:00
