Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 22, 2017","Uniondale, New York, USA",win,Chris Weidman,Kelvin Gastelum,0,1,36,26,7,0,2,0,Middleweight,SUB,Arm Triangle,3,3:45
"July 22, 2017","Uniondale, New York, USA",win,Darren Elkins,Dennis Bermudez,0,0,70,69,3,1,2,0,Featherweight,S-DEC,,3,5:00
"July 22, 2017","Uniondale, New York, USA",win,Patrick Cummins,Gian Villante,0,0,86,72,1,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"July 22, 2017","Uniondale, New York, USA",win,Jimmie Rivera,Thomas Almeida,2,0,70,72,2,0,0,0,Bantamweight,U-DEC,,3,5:00
"July 22, 2017","Uniondale, New York, USA",win,Elizeu Zaleski dos Santos,Lyman Good,0,0,83,75,1,1,0,0,Welterweight,S-DEC,,3,5:00
"July 22, 2017","Uniondale, New York, USA",win,Eryk Anders,Rafael Natal,1,0,23,14,1,0,0,0,Middleweight,KO/TKO,Punch,1,2:54
"July 22, 2017","Uniondale, New York, USA",win,Alex Oliveira,Ryan LaFlare,1,0,8,5,0,0,1,0,Welterweight,KO/TKO,Punch,2,1:50
"July 22, 2017","Uniondale, New York, USA",win,Chase Sherman,Damian Grabowski,0,0,111,68,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"July 22, 2017","Uniondale, New York, USA",win,Jeremy Kennedy,Kyle Bochniak,0,0,41,23,8,0,0,0,Featherweight,U-DEC,,3,5:00
"July 22, 2017","Uniondale, New York, USA",win,Marlon Vera,Brian Kelleher,0,0,5,8,0,1,2,0,Bantamweight,SUB,Armbar,1,2:18
"July 22, 2017","Uniondale, New York, USA",win,Junior Albini,Timothy Johnson,1,0,21,19,0,0,0,0,Heavyweight,KO/TKO,Punch,1,2:51
"July 22, 2017","Uniondale, New York, USA",win,Shane Burgos,Godofredo Pepey,3,0,102,51,1,0,0,0,Featherweight,U-DEC,,3,5:00
"July 22, 2017","Uniondale, New York, USA",win,Chris Wade,Frankie Perez,0,0,23,22,3,3,2,0,Lightweight,U-DEC,,3,5:00
