Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 27, 2024","Las Vegas, Nevada, USA",win,Alex Perez,Matheus Nicolau,1,0,28,22,0,0,0,0,Flyweight,KO/TKO,Punch,2,2:16
"April 27, 2024","Las Vegas, Nevada, USA",win,Bogdan Guskov,Ryan Spann,1,0,31,15,0,1,0,1,Light Heavyweight,KO/TKO,Punches,2,3:16
"April 27, 2024","Las Vegas, Nevada, USA",win,Karine Silva,Ariane da Silva,0,0,27,42,5,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"April 27, 2024","Las Vegas, Nevada, USA",win,Jhonata Diniz,Austen Lane,1,0,20,17,0,1,0,0,Heavyweight,KO/TKO,Punch,2,2:12
"April 27, 2024","Las Vegas, Nevada, USA",win,David Onama,Jonathan Pearce,0,0,58,57,0,5,1,1,Featherweight,U-DEC,,3,5:00
"April 27, 2024","Las Vegas, Nevada, USA",win,Uros Medic,Tim Means,1,0,7,7,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:09
"April 27, 2024","Las Vegas, Nevada, USA",win,Victor Henry,Rani Yahya,2,0,109,54,0,0,0,0,Bantamweight,KO/TKO,Punches,3,2:36
"April 27, 2024","Las Vegas, Nevada, USA",win,Austin Hubbard,Michal Figlak,0,0,88,92,3,0,0,0,Lightweight,U-DEC,,3,5:00
"April 27, 2024","Las Vegas, Nevada, USA",win,Don'Tale Mayes,Caio Machado,1,0,67,76,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"April 27, 2024","Las Vegas, Nevada, USA",win,Ketlen Souza,Marnic Mann,0,0,80,31,1,2,0,1,Women's Strawweight,U-DEC,,3,5:00
"April 27, 2024","Las Vegas, Nevada, USA",win,Chris Padilla,James Llontop,0,0,12,19,3,0,1,0,Lightweight,SUB,Rear Naked Choke,1,4:33
"April 27, 2024","Las Vegas, Nevada, USA",win,Ivana Petrovic,Liang Na,0,0,36,24,3,1,1,0,Women's Flyweight,SUB,Arm Triangle,3,1:29
"April 27, 2024","Las Vegas, Nevada, USA",win,Maheshate,Gabriel Benitez,0,0,97,121,0,0,0,0,Lightweight,S-DEC,,3,5:00
