Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 01, 2016","Portland, Oregon, USA",win,John Lineker,John Dodson,0,0,93,101,0,0,0,0,Bantamweight,S-DEC,,5,5:00
"October 01, 2016","Portland, Oregon, USA",win,Alex Oliveira,Will Brooks,0,0,48,16,4,4,1,0,Lightweight,KO/TKO,Punches,3,3:30
"October 01, 2016","Portland, Oregon, USA",win,Zak Ottow,Joshua Burkman,0,0,65,47,0,1,1,0,Welterweight,S-DEC,,3,5:00
"October 01, 2016","Portland, Oregon, USA",win,Brandon Moreno,Louis Smolka,0,0,8,7,1,1,2,0,Flyweight,SUB,Guillotine Choke,1,2:23
"October 01, 2016","Portland, Oregon, USA",win,Henrique da Silva,Joachim Christensen,0,1,44,50,0,0,1,0,Light Heavyweight,SUB,Armbar,2,4:43
"October 01, 2016","Portland, Oregon, USA",win,Andre Fili,Hacran Dias,1,0,45,25,1,4,0,1,Featherweight,U-DEC,,3,5:00
"October 01, 2016","Portland, Oregon, USA",win,Shamil Abdurakhimov,Walt Harris,0,0,47,33,1,0,0,1,Heavyweight,S-DEC,,3,5:00
"October 01, 2016","Portland, Oregon, USA",win,Elizeu Zaleski dos Santos,Keita Nakamura,0,0,34,24,1,5,2,0,Welterweight,U-DEC,,3,5:00
"October 01, 2016","Portland, Oregon, USA",win,Nate Marquardt,Tamdan McCrory,1,0,24,16,2,0,0,0,Middleweight,KO/TKO,Kick,2,4:44
"October 01, 2016","Portland, Oregon, USA",win,Ion Cutelaba,Jonathan Wilson,0,0,89,30,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"October 01, 2016","Portland, Oregon, USA",win,Curtis Blaydes,Cody East,0,0,52,21,5,3,0,0,Heavyweight,KO/TKO,Elbows,2,2:02
"October 01, 2016","Portland, Oregon, USA",win,Ketlen Vieira,Kelly Faszholz,0,0,13,44,4,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
