Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 13, 2022","San Diego, California, USA",win,Marlon Vera,Dominick Cruz,3,0,61,92,0,2,0,0,Bantamweight,KO/TKO,Kick,4,2:17
"August 13, 2022","San Diego, California, USA",win,Nate Landwehr,David Onama,0,1,91,71,3,1,2,0,Featherweight,M-DEC,,3,5:00
"August 13, 2022","San Diego, California, USA",win,Yazmin Jauregui,Iasmin Lucindo,0,0,86,66,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"August 13, 2022","San Diego, California, USA",win,Azamat Murzakanov,Devin Clark,1,0,79,14,0,0,0,0,Light Heavyweight,KO/TKO,Punch,3,1:18
"August 13, 2022","San Diego, California, USA",win,Priscila Cachoeira,Ariane da Silva,1,0,20,4,0,0,0,0,Women's Bantamweight,KO/TKO,Punches,1,1:05
"August 13, 2022","San Diego, California, USA",win,Gerald Meerschaert,Bruno Silva,1,0,46,29,1,0,1,0,Middleweight,SUB,Guillotine Choke,3,1:39
"August 13, 2022","San Diego, California, USA",win,Angela Hill,Loopy Godinez,0,0,85,92,1,1,0,0,Catch Weight,U-DEC,,3,5:00
"August 13, 2022","San Diego, California, USA",win,Martin Buday,Lukasz Brzeski,0,0,66,118,0,0,0,0,Heavyweight,S-DEC,,3,5:00
"August 13, 2022","San Diego, California, USA",win,Nina Nunes,Cynthia Calvillo,0,0,39,48,0,3,0,0,Women's Flyweight,S-DEC,,3,5:00
"August 13, 2022","San Diego, California, USA",win,Gabriel Benitez,Charlie Ontiveros,0,0,37,22,1,0,0,0,Lightweight,KO/TKO,Punches,1,3:33
"August 13, 2022","San Diego, California, USA",win,Tyson Nam,Ode Osbourne,1,0,13,15,0,0,0,0,Flyweight,KO/TKO,Punch,1,2:59
"August 13, 2022","San Diego, California, USA",win,Josh Quinlan,Jason Witt,1,0,3,1,0,1,0,0,Catch Weight,KO/TKO,Punch,1,2:09
"August 13, 2022","San Diego, California, USA",drawdraw,Youssef Zalal,Da'Mon Blackshear,0,0,63,27,1,1,1,1,Bantamweight,M-DEC,,3,5:00
