Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"November 04, 2017","New York City, New York, USA",win,Georges St-Pierre,Michael Bisping,1,0,59,27,3,0,1,0,Middleweight,SUB,Rear Naked Choke,3,4:23
"November 04, 2017","New York City, New York, USA",win,TJ Dillashaw,Cody Garbrandt,2,1,20,18,0,0,0,0,Bantamweight,KO/TKO,Punch,2,2:41
"November 04, 2017","New York City, New York, USA",win,Rose Namajunas,Joanna Jedrzejczyk,1,0,15,5,0,0,0,0,Women's Strawweight,KO/TKO,Punch,1,3:03
"November 04, 2017","New York City, New York, USA",win,Stephen Thompson,Jorge Masvidal,1,0,70,42,0,0,0,0,Welterweight,U-DEC,,3,5:00
"November 04, 2017","New York City, New York, USA",win,Paulo Costa,Johny Hendricks,1,0,49,27,0,0,0,0,Middleweight,KO/TKO,Punches,2,1:23
"November 04, 2017","New York City, New York, USA",win,James Vick,Joe Duffy,1,0,42,25,0,2,0,0,Lightweight,KO/TKO,Punch,2,4:59
"November 04, 2017","New York City, New York, USA",win,Mark Godbeer,Walt Harris,0,0,3,21,0,1,0,0,Heavyweight,DQ,,1,4:29
"November 04, 2017","New York City, New York, USA",win,Ovince Saint Preux,Corey Anderson,1,0,23,30,0,4,0,0,Light Heavyweight,KO/TKO,Kick,3,1:25
"November 04, 2017","New York City, New York, USA",win,Randy Brown,Mickey Gall,0,0,41,7,1,0,0,2,Welterweight,U-DEC,,3,5:00
"November 04, 2017","New York City, New York, USA",win,Curtis Blaydes,Aleksei Oleinik,1,0,39,34,4,0,0,0,Heavyweight,KO/TKO,,2,1:39
"November 04, 2017","New York City, New York, USA",win,Ricardo Ramos,Aiemann Zahabi,1,0,42,46,3,0,0,0,Bantamweight,KO/TKO,Spinning Back Elbow,3,1:58
