Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 26, 2015","Saitama, Japan",win,Josh Barnett,Roy Nelson,0,0,146,60,0,4,0,0,Heavyweight,U-DEC,,5,5:00
"September 26, 2015","Saitama, Japan",win,Uriah Hall,Gegard Mousasi,1,0,18,17,0,1,1,1,Middleweight,KO/TKO,Spinning Back Kick,2,0:25
"September 26, 2015","Saitama, Japan",win,Kyoji Horiguchi,Chico Camus,0,0,78,63,0,0,0,0,Flyweight,U-DEC,,3,5:00
"September 26, 2015","Saitama, Japan",win,Takeya Mizugaki,George Roop,0,0,70,47,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"September 26, 2015","Saitama, Japan",win,Diego Brandao,Katsunori Kikuno,1,0,14,1,0,0,0,0,Featherweight,KO/TKO,Punch,1,0:28
"September 26, 2015","Saitama, Japan",drawdraw,Mizuto Hirota,Teruto Ishihara,0,2,62,88,2,0,0,0,Featherweight,S-DEC,,3,5:00
"September 26, 2015","Saitama, Japan",win,Keita Nakamura,Li Jingliang,1,1,40,79,0,1,1,0,Welterweight,SUB,Rear Naked Choke,3,2:17
"September 26, 2015","Saitama, Japan",win,Nick Hein,Yusuke Kasuya,0,0,46,44,0,1,0,0,Lightweight,U-DEC,,3,5:00
"September 26, 2015","Saitama, Japan",win,Kajan Johnson,Naoyuki Kotani,1,0,57,21,0,1,0,0,Lightweight,U-DEC,,3,5:00
"September 26, 2015","Saitama, Japan",win,Shinsho Anzai,Roger Zapata,0,0,23,28,2,0,0,1,Welterweight,KO/TKO,,3,0:47
