Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 03, 2011","Louisville, Kentucky, USA",win,Diego Sanchez,Martin Kampmann,0,1,51,77,1,0,0,0,Welterweight,U-DEC,,3,5:00
"March 03, 2011","Louisville, Kentucky, USA",win,Mark Munoz,CB Dollaway,1,0,4,2,0,1,0,0,Middleweight,KO/TKO,Punch,1,0:54
"March 03, 2011","Louisville, Kentucky, USA",win,Chris Weidman,Alessio Sakara,0,0,45,27,5,0,0,0,Middleweight,U-DEC,,3,5:00
"March 03, 2011","Louisville, Kentucky, USA",win,Brian Bowles,Damacio Page,0,0,19,17,1,0,1,0,Bantamweight,SUB,Guillotine Choke,1,3:30
"March 03, 2011","Louisville, Kentucky, USA",win,Cyrille Diabate,Steve Cantwell,1,0,146,28,1,1,0,0,Light Heavyweight,U-DEC,,3,5:00
"March 03, 2011","Louisville, Kentucky, USA",win,Danny Castillo,Joe Stevenson,0,0,55,12,5,2,0,4,Lightweight,U-DEC,,3,5:00
"March 03, 2011","Louisville, Kentucky, USA",win,Shane Roller,Thiago Tavares,1,0,26,22,0,1,0,0,Lightweight,KO/TKO,Punch,2,1:28
"March 03, 2011","Louisville, Kentucky, USA",win,Takeya Mizugaki,Reuben Duran,0,0,43,67,4,0,0,0,Bantamweight,S-DEC,,3,5:00
"March 03, 2011","Louisville, Kentucky, USA",win,Dongi Yang,Rob Kimmons,1,0,57,1,1,1,2,0,Middleweight,KO/TKO,Punches,2,4:47
"March 03, 2011","Louisville, Kentucky, USA",win,Rousimar Palhares,David Branch,0,0,2,6,0,1,3,0,Middleweight,SUB,Kneebar,2,1:44
"March 03, 2011","Louisville, Kentucky, USA",win,Igor Pokrajac,Todd Brown,1,0,17,15,0,0,0,0,Light Heavyweight,KO/TKO,,1,5:00
