Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 11, 1994","Denver, Colorado, USA",win,Royce Gracie,Patrick Smith,0,0,4,1,1,0,0,0,Open Weight,KO/TKO,Punches,1,1:17
"March 11, 1994","Denver, Colorado, USA",win,Royce Gracie,Remco Pardoel,0,0,0,0,1,0,1,0,Open Weight,SUB,Gi Choke,1,1:31
"March 11, 1994","Denver, Colorado, USA",win,Patrick Smith,Johnny Rhodes,0,0,5,4,0,0,1,0,Open Weight,SUB,Guillotine Choke,1,1:07
"March 11, 1994","Denver, Colorado, USA",win,Royce Gracie,Jason DeLucia,0,0,0,0,0,1,1,0,Open Weight,SUB,Armbar,1,1:07
"March 11, 1994","Denver, Colorado, USA",win,Remco Pardoel,Orlando Wiet,0,0,7,1,1,0,0,0,Open Weight,KO/TKO,Elbows,1,1:29
"March 11, 1994","Denver, Colorado, USA",win,Johnny Rhodes,Fred Ettish,1,0,13,4,0,0,1,0,Open Weight,SUB,Bulldog Choke,1,3:07
"March 11, 1994","Denver, Colorado, USA",win,Patrick Smith,Scott Morris,0,0,13,0,0,0,0,0,Open Weight,KO/TKO,Elbows,1,0:30
"March 11, 1994","Denver, Colorado, USA",win,Royce Gracie,Minoki Ichihara,0,0,2,3,1,0,2,0,Open Weight,SUB,Armbar,1,5:08
"March 11, 1994","Denver, Colorado, USA",win,Jason DeLucia,Scott Baker,0,0,3,0,0,1,5,0,Open Weight,SUB,Triangle Choke,1,6:41
"March 11, 1994","Denver, Colorado, USA",win,Remco Pardoel,Alberta Cerra Leon,0,0,4,1,1,0,1,0,Open Weight,SUB,Ezekiel Choke,1,9:51
"March 11, 1994","Denver, Colorado, USA",win,Orlando Wiet,Robert Lucarelli,0,0,8,2,0,1,0,1,Open Weight,KO/TKO,,1,2:50
"March 11, 1994","Denver, Colorado, USA",win,Frank Hamaker,Thaddeus Luster,0,0,2,0,1,0,3,0,Open Weight,SUB,Keylock,1,4:52
"March 11, 1994","Denver, Colorado, USA",win,Johnny Rhodes,David Levicki,0,0,11,4,1,0,0,0,Open Weight,KO/TKO,Punches,1,12:13
"March 11, 1994","Denver, Colorado, USA",win,Patrick Smith,Ray Wizard,0,0,1,1,0,0,1,0,Open Weight,SUB,Guillotine Choke,1,0:58
"March 11, 1994","Denver, Colorado, USA",win,Scott Morris,Sean Daugherty,0,0,1,0,1,0,1,0,Open Weight,SUB,Guillotine Choke,1,0:20
