Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 02, 2010","Las Vegas, Nevada, USA",win,Rashad Evans,Thiago Silva,0,0,12,31,8,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"January 02, 2010","Las Vegas, Nevada, USA",win,Paul Daley,Dustin Hazelett,1,0,8,4,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:24
"January 02, 2010","Las Vegas, Nevada, USA",win,Sam Stout,Joe Lauzon,0,0,94,26,0,4,0,2,Lightweight,U-DEC,,3,5:00
"January 02, 2010","Las Vegas, Nevada, USA",win,Jim Miller,Duane Ludwig,1,0,6,2,0,0,1,0,Lightweight,SUB,Armbar,1,2:31
"January 02, 2010","Las Vegas, Nevada, USA",win,Junior Dos Santos,Gilbert Yvel,1,0,14,3,0,0,0,0,Heavyweight,KO/TKO,Punch,1,2:07
"January 02, 2010","Las Vegas, Nevada, USA",win,Martin Kampmann,Jacob Volkmann,1,0,14,13,0,0,1,0,Welterweight,SUB,Guillotine Choke,1,4:03
"January 02, 2010","Las Vegas, Nevada, USA",win,Cole Miller,Dan Lauzon,0,1,15,10,0,1,1,0,Lightweight,SUB,Inverted Triangle,1,3:05
"January 02, 2010","Las Vegas, Nevada, USA",win,Mark Munoz,Ryan Jensen,0,0,16,9,1,0,0,1,Middleweight,KO/TKO,Punches,1,2:30
"January 02, 2010","Las Vegas, Nevada, USA",win,Jake Ellenberger,Mike Pyle,1,0,15,5,2,0,0,1,Welterweight,KO/TKO,Punch,2,0:22
"January 02, 2010","Las Vegas, Nevada, USA",win,Rafaello Oliveira,John Gunderson,0,0,21,1,6,1,4,4,Lightweight,U-DEC,,3,5:00
