Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Andrei Arlovski,Antonio Silva,1,0,13,6,0,0,0,0,Heavyweight,KO/TKO,Punch,1,2:59
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Gleison Tibau,Piotr Hallmann,0,0,30,52,5,0,0,0,Lightweight,S-DEC,,3,5:00
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Leonardo Santos,Efrain Escudero,0,1,36,43,2,0,0,0,Lightweight,U-DEC,,3,5:00
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Santiago Ponzinibbio,Wendell Oliveira Marques,1,0,10,8,0,0,0,0,Welterweight,KO/TKO,Punches,1,1:20
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Iuri Alcantara,Russell Doane,0,0,27,14,2,6,0,0,Bantamweight,U-DEC,,3,5:00
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Jessica Andrade,Larissa Pacheco,0,0,19,6,1,0,2,0,Women's Bantamweight,SUB,Guillotine Choke,1,4:33
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Godofredo Pepey,Dashon Johnson,0,0,8,7,0,1,2,0,Featherweight,SUB,Armbar,1,4:29
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,George Sullivan,Igor Araujo,0,0,43,8,1,2,0,0,Welterweight,KO/TKO,Punch,2,2:31
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Francisco Trinaldo,Leandro Silva,0,0,36,26,0,4,0,1,Lightweight,U-DEC,,3,5:00
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Sean Spencer,Paulo Thiago,1,0,63,36,1,0,0,0,Welterweight,U-DEC,,3,5:00
"September 13, 2014","Brasilia, Distrito Federal, Brazil",win,Rani Yahya,Johnny Bedford,0,0,13,9,3,0,2,0,Bantamweight,SUB,Kimura,2,2:04
