Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Derek Brunson,Lyoto Machida,1,0,10,3,0,0,0,0,Middleweight,KO/TKO,Punch,1,2:30
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Colby Covington,Demian Maia,0,0,88,53,0,0,0,0,Welterweight,U-DEC,,3,5:00
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Pedro Munhoz,Rob Font,0,0,20,30,0,0,1,0,Bantamweight,SUB,Guillotine Choke,1,4:03
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Francisco Trinaldo,Jim Miller,0,0,63,34,1,1,0,0,Lightweight,U-DEC,,3,5:00
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Thiago Santos,Jack Hermansson,1,0,28,5,0,0,0,0,Middleweight,KO/TKO,Punch,1,4:59
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,John Lineker,Marlon Vera,0,0,77,49,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Vicente Luque,Niko Price,1,0,61,25,0,0,1,0,Welterweight,SUB,D'Arce Choke,2,4:08
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Antonio Carlos Junior,Jack Marshman,0,0,11,1,1,0,1,0,Middleweight,SUB,Rear Naked Choke,1,4:30
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Jared Gordon,Hacran Dias,0,0,101,32,2,0,0,1,Lightweight,U-DEC,,3,5:00
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Elizeu Zaleski dos Santos,Max Griffin,0,2,84,51,0,0,0,0,Welterweight,U-DEC,,3,5:00
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Deiveson Figueiredo,Jarred Brooks,0,0,19,30,1,7,5,0,Flyweight,S-DEC,,3,5:00
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",win,Marcelo Golm,Christian Colombo,0,0,35,2,1,0,1,0,Heavyweight,SUB,Rear Naked Choke,1,2:08
