Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 17, 2019","Phoenix, Arizona, USA",win,Francis Ngannou,Cain Velasquez,0,0,6,1,0,0,0,0,Heavyweight,KO/TKO,Punches,1,0:26
"February 17, 2019","Phoenix, Arizona, USA",win,Paul Felder,James Vick,0,0,55,61,0,0,0,0,Lightweight,U-DEC,,3,5:00
"February 17, 2019","Phoenix, Arizona, USA",win,Cynthia Calvillo,Cortney Casey,0,0,82,73,0,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"February 17, 2019","Phoenix, Arizona, USA",win,Kron Gracie,Alex Caceres,0,0,2,4,1,0,1,0,Featherweight,SUB,Rear Naked Choke,1,2:06
"February 17, 2019","Phoenix, Arizona, USA",win,Vicente Luque,Bryan Barberena,1,1,163,169,0,0,2,0,Welterweight,KO/TKO,Knee,3,4:54
"February 17, 2019","Phoenix, Arizona, USA",win,Andre Fili,Myles Jury,0,1,98,76,0,0,0,0,Featherweight,U-DEC,,3,5:00
"February 17, 2019","Phoenix, Arizona, USA",win,Aljamain Sterling,Jimmie Rivera,0,0,101,24,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"February 17, 2019","Phoenix, Arizona, USA",win,Manny Bermudez,Benito Lopez,0,0,7,7,1,0,1,0,Bantamweight,SUB,Guillotine Choke,1,3:09
"February 17, 2019","Phoenix, Arizona, USA",win,Andrea Lee,Ashlee Evans-Smith,0,0,111,66,0,2,0,0,Women's Flyweight,U-DEC,,3,5:00
"February 17, 2019","Phoenix, Arizona, USA",win,Nik Lentz,Scott Holtzman,0,0,71,54,5,0,1,0,Lightweight,U-DEC,,3,5:00
"February 17, 2019","Phoenix, Arizona, USA",win,Luke Sanders,Renan Barao,1,0,39,40,0,0,0,0,Bantamweight,KO/TKO,Punch,2,1:01
"February 17, 2019","Phoenix, Arizona, USA",win,Emily Whitmire,Aleksandra Albu,0,0,3,2,1,0,1,0,Women's Strawweight,SUB,Rear Naked Choke,1,1:01
