Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 12, 2015","Las Vegas, Nevada, USA",win,Stephen Thompson,Jake Ellenberger,2,1,20,5,1,0,0,0,Welterweight,KO/TKO,Kick,1,4:29
"July 12, 2015","Las Vegas, Nevada, USA",win,Kamaru Usman,Hayder Hassan,0,0,15,3,6,0,1,0,Welterweight,SUB,Arm Triangle,2,1:19
"July 12, 2015","Las Vegas, Nevada, USA",win,Michael Graves,Vicente Luque,0,0,27,28,7,0,0,1,Welterweight,U-DEC,,3,5:00
"July 12, 2015","Las Vegas, Nevada, USA",win,Jorge Masvidal,Cezar Ferreira,1,0,12,7,0,1,0,0,Welterweight,KO/TKO,Elbow,1,4:22
"July 12, 2015","Las Vegas, Nevada, USA",win,Michelle Waterson-Gomez,Angela Magana,0,0,47,8,3,1,4,1,Women's Strawweight,SUB,Rear Naked Choke,3,2:38
"July 12, 2015","Las Vegas, Nevada, USA",win,Maximo Blanco,Mike de la Torre,1,0,4,1,0,0,0,0,Featherweight,KO/TKO,Punch,1,0:16
"July 12, 2015","Las Vegas, Nevada, USA",win,Josh Samman,Caio Magalhaes,0,0,12,3,0,0,1,0,Middleweight,SUB,Rear Naked Choke,1,2:52
"July 12, 2015","Las Vegas, Nevada, USA",win,Jerrod Sanders,Russell Doane,0,1,15,13,3,1,3,3,Bantamweight,U-DEC,,3,5:00
"July 12, 2015","Las Vegas, Nevada, USA",win,Trevor Smith,Dan Miller,0,0,51,25,1,0,0,1,Middleweight,U-DEC,,3,5:00
"July 12, 2015","Las Vegas, Nevada, USA",win,George Sullivan,Dominic Waters,0,0,54,13,2,5,3,0,Welterweight,U-DEC,,3,5:00
"July 12, 2015","Las Vegas, Nevada, USA",win,Willie Gates,Darrell Montague,1,0,19,4,0,0,0,0,Flyweight,KO/TKO,Punches,1,1:36
