Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 16, 2023","Las Vegas, Nevada, USA",win,Leon Edwards,Colby Covington,0,0,57,44,2,2,2,0,Welterweight,U-DEC,,5,5:00
"December 16, 2023","Las Vegas, Nevada, USA",win,Alexandre Pantoja,Brandon Royval,0,0,95,111,8,0,1,0,Flyweight,U-DEC,,5,5:00
"December 16, 2023","Las Vegas, Nevada, USA",win,Shavkat Rakhmonov,Stephen Thompson,0,0,28,16,1,0,2,0,Welterweight,SUB,Rear Naked Choke,2,4:56
"December 16, 2023","Las Vegas, Nevada, USA",win,Paddy Pimblett,Tony Ferguson,1,0,106,62,1,0,0,0,Lightweight,U-DEC,,3,5:00
"December 16, 2023","Las Vegas, Nevada, USA",win,Josh Emmett,Bryce Mitchell,1,0,2,0,0,0,0,0,Featherweight,KO/TKO,Punch,1,1:57
"December 16, 2023","Las Vegas, Nevada, USA",win,Alonzo Menifield,Dustin Jacoby,1,0,68,93,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"December 16, 2023","Las Vegas, Nevada, USA",win,Irene Aldana,Karol Rosa,0,0,145,204,0,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"December 16, 2023","Las Vegas, Nevada, USA",win,Cody Garbrandt,Brian Kelleher,1,0,20,17,0,0,0,0,Bantamweight,KO/TKO,Punch,1,3:42
"December 16, 2023","Las Vegas, Nevada, USA",win,Ariane da Silva,Casey O'Neill,0,0,64,31,1,0,1,0,Women's Flyweight,SUB,Armbar,2,1:18
"December 16, 2023","Las Vegas, Nevada, USA",win,Tagir Ulanbekov,Cody Durden,1,0,24,32,2,0,5,0,Flyweight,SUB,Rear Naked Choke,2,4:25
"December 16, 2023","Las Vegas, Nevada, USA",win,Andre Fili,Lucas Almeida,1,0,20,10,0,0,0,0,Featherweight,KO/TKO,Punch,1,3:32
"December 16, 2023","Las Vegas, Nevada, USA",win,Shamil Gaziev,Martin Buday,0,0,49,8,0,0,0,0,Heavyweight,KO/TKO,Punches,2,0:56
