Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Ronda Rousey,Bethe Correia,1,0,19,9,0,0,0,0,Women's Bantamweight,KO/TKO,Punch,1,0:34
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Mauricio Rua,Rogerio Nogueira,0,0,53,63,2,0,0,1,Light Heavyweight,U-DEC,,3,5:00
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Glaico Franca Moreira,Fernando Bruno,0,0,23,20,4,2,1,0,Lightweight,SUB,Rear Naked Choke,3,4:46
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Reginaldo Vieira,Dileno Lopes,0,0,59,46,0,3,2,3,Bantamweight,U-DEC,,3,5:00
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Stefan Struve,Antonio Rodrigo Nogueira,0,0,93,59,0,1,0,0,Heavyweight,U-DEC,,3,5:00
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Antonio Silva,Soa Palelei,1,0,16,19,0,1,0,0,Heavyweight,KO/TKO,Punches,2,0:41
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Claudia Gadelha,Jessica Aguilar,0,0,111,70,4,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Demian Maia,Neil Magny,0,0,13,0,2,0,1,0,Welterweight,SUB,Rear Naked Choke,2,2:52
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Patrick Cummins,Rafael Cavalcante,0,0,49,23,8,0,0,0,Light Heavyweight,KO/TKO,Elbows,3,0:45
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Warlley Alves,Nordine Taleb,0,0,17,17,2,0,1,0,Welterweight,SUB,Guillotine Choke,2,4:11
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Iuri Alcantara,Leandro Issa,0,0,53,26,0,1,0,0,Bantamweight,U-DEC,,3,5:00
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Vitor Miranda,Clint Hester,0,0,57,15,1,1,0,0,Middleweight,KO/TKO,Elbows,2,2:38
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",win,Guido Cannetti,Hugo Viana,0,0,32,13,4,1,0,0,Bantamweight,U-DEC,,3,5:00
