Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 09, 2016","Las Vegas, Nevada, USA",win,Amanda Nunes,Miesha Tate,0,0,40,3,0,0,1,0,Women's Bantamweight,SUB,Rear Naked Choke,1,3:16
"July 09, 2016","Las Vegas, Nevada, USA",ncnc,Brock Lesnar,Mark Hunt,0,0,51,13,4,0,0,0,Heavyweight,Overturned,,3,5:00
"July 09, 2016","Las Vegas, Nevada, USA",win,Daniel Cormier,Anderson Silva,0,0,33,17,3,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"July 09, 2016","Las Vegas, Nevada, USA",win,Jose Aldo,Frankie Edgar,0,0,80,79,0,0,0,0,Featherweight,U-DEC,,5,5:00
"July 09, 2016","Las Vegas, Nevada, USA",win,Cain Velasquez,Travis Browne,1,0,50,6,1,0,0,0,Heavyweight,KO/TKO,Punches,1,4:57
"July 09, 2016","Las Vegas, Nevada, USA",win,Julianna Pena,Cat Zingano,0,0,12,11,2,3,1,0,Women's Bantamweight,U-DEC,,3,5:00
"July 09, 2016","Las Vegas, Nevada, USA",win,Kelvin Gastelum,Johny Hendricks,0,0,124,70,0,1,0,0,Welterweight,U-DEC,,3,5:00
"July 09, 2016","Las Vegas, Nevada, USA",win,TJ Dillashaw,Raphael Assuncao,0,0,64,49,1,0,0,0,Bantamweight,U-DEC,,3,5:00
"July 09, 2016","Las Vegas, Nevada, USA",win,Sage Northcutt,Enrique Marin,0,0,41,16,0,4,1,2,Lightweight,U-DEC,,3,5:00
"July 09, 2016","Las Vegas, Nevada, USA",win,Joe Lauzon,Diego Sanchez,1,0,22,6,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:26
"July 09, 2016","Las Vegas, Nevada, USA",win,Gegard Mousasi,Thiago Santos,1,0,21,5,2,0,0,0,Middleweight,KO/TKO,Punch,1,4:32
"July 09, 2016","Las Vegas, Nevada, USA",win,Jim Miller,Takanori Gomi,0,0,8,1,1,0,0,0,Lightweight,KO/TKO,Punches,1,2:18
