Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 11, 2011","Vancouver, British Columbia, Canada",win,Junior Dos Santos,Shane Carwin,1,0,88,20,2,1,0,0,Heavyweight,U-DEC,,3,5:00
"June 11, 2011","Vancouver, British Columbia, Canada",win,Kenny Florian,Diego Nunes,0,1,42,31,4,2,1,0,Featherweight,U-DEC,,3,5:00
"June 11, 2011","Vancouver, British Columbia, Canada",win,Mark Munoz,Demian Maia,0,0,44,32,3,0,1,2,Middleweight,U-DEC,,3,5:00
"June 11, 2011","Vancouver, British Columbia, Canada",win,Dave Herman,Jon Olav Einemo,1,0,55,34,1,1,0,0,Heavyweight,KO/TKO,Punches,2,3:19
"June 11, 2011","Vancouver, British Columbia, Canada",win,Donald Cerrone,Vagner Rocha,0,0,86,46,0,1,0,0,Lightweight,U-DEC,,3,5:00
"June 11, 2011","Vancouver, British Columbia, Canada",win,Sam Stout,Yves Edwards,1,0,13,14,0,1,0,0,Lightweight,KO/TKO,Punch,1,3:52
"June 11, 2011","Vancouver, British Columbia, Canada",win,Chris Weidman,Jesse Bongfeldt,0,0,7,5,1,0,1,0,Middleweight,SUB,Guillotine Choke,1,4:54
"June 11, 2011","Vancouver, British Columbia, Canada",win,Krzysztof Soszynski,Mike Massenzio,0,0,66,17,0,2,0,0,Light Heavyweight,U-DEC,,3,5:00
"June 11, 2011","Vancouver, British Columbia, Canada",win,Nick Ring,James Head,0,1,58,30,5,0,1,0,Middleweight,SUB,Rear Naked Choke,3,3:33
"June 11, 2011","Vancouver, British Columbia, Canada",win,Dustin Poirier,Jason Young,0,0,77,57,5,0,0,0,Featherweight,U-DEC,,3,5:00
"June 11, 2011","Vancouver, British Columbia, Canada",win,Joey Beltran,Aaron Rosa,0,0,88,73,1,0,0,0,Heavyweight,KO/TKO,Punches,3,1:26
"June 11, 2011","Vancouver, British Columbia, Canada",win,Darren Elkins,Michihiro Omigawa,0,0,78,65,1,1,0,0,Featherweight,U-DEC,,3,5:00
