Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 21, 2012","Calgary, Alberta, Canada",win,Renan Barao,Urijah Faber,0,0,85,60,0,0,0,0,Bantamweight,U-DEC,,5,5:00
"July 21, 2012","Calgary, Alberta, Canada",win,Tim Boetsch,Hector Lombard,0,0,54,26,0,2,0,0,Middleweight,S-DEC,,3,5:00
"July 21, 2012","Calgary, Alberta, Canada",win,Cheick Kongo,Shawn Jordan,0,0,38,15,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"July 21, 2012","Calgary, Alberta, Canada",win,James Head,Brian Ebersole,0,0,37,35,1,1,1,0,Welterweight,S-DEC,,3,5:00
"July 21, 2012","Calgary, Alberta, Canada",ncnc,Chris Clements,Matthew Riddle,0,0,38,28,0,5,0,1,Welterweight,Overturned,,3,2:02
"July 21, 2012","Calgary, Alberta, Canada",win,Nick Ring,Court McGee,0,0,68,108,0,0,0,0,Middleweight,U-DEC,,3,5:00
"July 21, 2012","Calgary, Alberta, Canada",ncnc,Roland Delorme,Francisco Rivera,0,1,16,52,0,0,0,0,Bantamweight,Overturned,Punch,1,4:19
"July 21, 2012","Calgary, Alberta, Canada",win,Ryan Jimmo,Anthony Perosh,1,0,2,0,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:07
"July 21, 2012","Calgary, Alberta, Canada",win,Bryan Caraway,Mitch Gagnon,0,0,11,27,3,1,1,0,Bantamweight,SUB,Rear Naked Choke,3,1:39
"July 21, 2012","Calgary, Alberta, Canada",win,Antonio Carvalho,Daniel Pineda,1,0,10,7,0,0,0,0,Featherweight,KO/TKO,Punch,1,1:11
"July 21, 2012","Calgary, Alberta, Canada",win,Anton Kuivanen,Mitch Clarke,0,0,29,6,3,3,1,1,Lightweight,S-DEC,,3,5:00
